course_name,course_link,course_source,course_tags
Inkscape Essential Training,https://linkedin-learning.pxf.io/VWgo6, (linkedin.com) ,"['Paid', ' Video', ' Beginner', 'Docs']"
Inkscape Official Tutorials,https://inkscape.org/en/learn/tutorials/, (inkscape.org) ,"['Free', ' Book', ' Beginner', 'Docs']"
A Crash Course in Inkscape,http://www.chrishilbig.com/crash-course-91/, (chrishilbig.com) ,"['Free', ' Book', ' Beginner', 'Docs']"
Inkscape Video Tutorial,https://www.youtube.com/playlist?list=PLGLfVvz_LVvTSi9bKrvGR2_DBg0Tv8Dxo, (youtube.com) ,"['Free', ' Video', ' Beginner', 'Docs']"
Create Your Graphics For a Responsive Website with Inkscape,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/web-design-with-inkscape/, (udemy.com) ,"['Paid', ' Video', ' Beginner', 'Docs']"
Inkscape Beginners Level - Learn Imagine and Create,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/udemy-master-inkscape-beginner-course-20162017-unofficial/, (udemy.com) ,"['Paid', ' Video', ' Beginner', 'Docs']"
Inkscape Explained,https://www.youtube.com/playlist?list=PLynG8gQD-n8Byyq30_FOq9ylUFL1nTkGC, (youtube.com) ,"['Free', ' Video', ' Beginner', 'Docs']"
Inkscape Beginner Tutorials,https://www.youtube.com/playlist?list=PLynG8gQD-n8BMplEVZVsoYlaRgqzG1qc4, (youtube.com) ,"['Free', ' Video', ' Beginner', 'Docs']"
Inkscape Intermediate/Advanced Tutorials,https://www.youtube.com/playlist?list=PLynG8gQD-n8AFcLFAkvqJYnQUiBweRh1y, (youtube.com) ,"['Free', ' Video', ' Advanced', 'Docs']"
Learn Inkscape now - Create Vector Graphics for Free,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/learn-to-use-inkscape/, (udemy.com) ,"['Paid', ' Video', ' Beginner', 'Docs']"
Creative logo design with Inkscape for Free,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/logo-design-with-inkscape-for-free/, (udemy.com) ,"['Paid', ' Video', ' Beginner', 'Docs']"
