courses,course_links,websiteNames,course_tags
Artificial Intelligence A-Z: Learn How To Build An AI,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/artificial-intelligence-az/, (udemy.com) ,"['Paid', ' Video', ' Beginner', 'Docs']"
AI Crash Course: A Fun and Hands On Introduction,https://www.amazon.com/Crash-Course-hands-introduction-reinforcement/dp/1838645357??tag=hackr-20, (amazon.com) ,"['Paid', ' Book', ' Advanced', 'Docs']"
Intro to Artificial Intelligence - Udacity,https://www.anrdoezrs.net/links/8752481/type/dlg/https://www.udacity.com/course/intro-to-artificial-intelligence--cs271, (udacity.com) ,"['Free', ' Video', 'Docs']"
MIT Open Courseware - Artificial Intelligence,https://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-034-artificial-intelligence-fall-2010/lecture-videos/, (ocw.mit.edu) ,"['Free', ' Video', ' Advanced', 'Docs']"
Elements of AI,https://course.elementsofai.com, (course.elementsofai.com) ,"['Free', ' Book', ' Beginner', 'Docs']"
Intro to AI - UC Berkeley CS188,http://ai.berkeley.edu/lecture_videos.html, (ai.berkeley.edu) ,"['Free', 'Docs']"
Artificial Intelligence: A Modern Approach,https://www.amazon.com/Artificial-Intelligence-Modern-Approach-3rd/dp/0136042597/?tag=hackr-20, (amazon.com) ,"['Paid', ' Book', 'Docs']"
AI Programming with Python,https://www.anrdoezrs.net/links/8752481/type/dlg/https://udacity.com/course/ai-programming-python-nanodegree--nd089, (udacity.com) ,"['Video', ' Advanced', ' Paid', 'Python Matplotlib NumPy PyTorch']"
Microsoft Professional Program in Artificial Intelligence,http://www.awin1.com/cread.php?awinmid=6798&awinaffid=428263&p=https://www.edx.org/microsoft-professional-program-artificial-intelligence, (edx.org) ,"['Paid', ' Video', ' Beginner', 'Docs']"
AI For Everyone,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=40328&murl=https://www.coursera.org/learn/ai-for-everyone, (coursera.org) ,"['Free', ' Video', ' Beginner', 'Docs']"
Learn the fundamentals of Artificial Intelligence,http://www.awin1.com/cread.php?awinmid=6798&awinaffid=428263&p=https://www.edx.org/course/artificial-intelligence-ai-columbiax-csmm-101x-0, (edx.org) ,"['Free', ' Video', 'Docs']"
Neural Network Full Course | Simplilearn,https://www.youtube.com/watch?v=ob1yS9g-Zcs, (youtube.com) ,"['Free', ' Video', ' Beginner', 'Neural Networks', 'Docs']"
Natural Language Processing in Action,https://www.manning.com/books/natural-language-processing-in-action?a_aid=hackrio, (manning.com) ,"['Paid', ' Book', 'NLP - Natural Language Processing', 'Docs']"
Advanced AI: Deep Reinforcement Learning in Python,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/deep-reinforcement-learning-in-python, (udemy.com) ,"['Paid', ' Video', ' Advanced', 'Python', 'Docs']"
IBM AI Engineering Professional Certificate,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=40328&murl=https://www.coursera.org/professional-certificates/ai-engineer, (coursera.org) ,"['Paid', ' Video', ' Beginner', 'Docs']"
Computer Vision Specialization,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=40328&murl=https://www.coursera.org/specializations/computervision, (coursera.org) ,"['Paid', ' Video', ' Beginner', 'Computer Vision', 'Docs']"
NLTK with Python 3 for Natural Language Processing,https://www.youtube.com/playlist?list=PLQVvvaa0QuDf2JswnfiGkliBInZnIC4HL, (youtube.com) ,"['Free', ' Video', ' Beginner', 'NLP', 'Docs']"
Knowledge-Based AI: Cognitive Systems,https://www.anrdoezrs.net/links/8752481/type/dlg/https://udacity.com/course/knowledge-based-ai-cognitive-systems--ud409, (udacity.com) ,"['Free', ' Video', ' Advanced', 'Docs']"
IBM Applied AI Professional Certificate,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=40328&murl=https://www.coursera.org/professional-certificates/applied-artifical-intelligence-ibm-watson-ai, (coursera.org) ,"['Paid', ' Video', ' Beginner', 'Docs']"
AI Foundations for Everyone Specialization,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=40328&murl=https://www.coursera.org/specializations/ai-foundations-for-everyone, (coursera.org) ,"['Paid', ' Video', ' Beginner', 'Docs']"
Neural Network Tutorial,https://www.youtube.com/watch?v=ysVOhBGykxs, (youtube.com) ,"['Free', ' Advanced', 'Neural Networks', 'Docs']"
Natural Language Processing,https://www.pjatr.com/t/TUJGR0lLR0JHRklKSkdCR0ZISk1N?url=https://www.codecademy.com/learn/natural-language-processing, (codecademy.com) ,"['Paid', ' Advanced', 'NLP', 'Docs']"
PG Program in Artificial Intelligence & Machine Learning by UT Austin,https://www.greatlearning.in/pg-program-online-artificial-intelligence-machine-learning, (greatlearning.in) ,"['Paid', ' Beginner', ' Certification', 'Docs']"
Real-World Natural Language Processing,https://www.manning.com/books/real-world-natural-language-processing?a_aid=hackrio, (manning.com) ,"['Paid', ' Book', ' Beginner', 'NLP - Natural Language Processing', 'Docs']"
AI as a Service,https://www.manning.com/books/ai-as-a-service?a_aid=hackrio, (manning.com) ,"['Paid', ' Book', ' Advanced', 'AWS', 'Docs']"
Introduction to Artificial Intelligence,https://www.experfy.com/training/courses/introduction-to-artificial-intelligence, (experfy.com) ,"['Paid', ' Beginner', 'Docs']"
Architects of Intelligence,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=45060&murl=https://www.packtpub.com/big-data-and-business-intelligence/architects-intelligence, (packtpub.com) ,"['Paid', ' Book', ' Beginner', 'Docs']"
Artificial Intelligence with Python,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=45060&murl=https://www.packtpub.com/big-data-and-business-intelligence/artificial-intelligence-python, (packtpub.com) ,"['Paid', ' Book', ' Beginner', 'Python', 'Docs']"
Artificial Intelligence Course | Intellipaat,https://www.youtube.com/watch?v=W7N6LPp0SmY, (youtube.com) ,"['Free', ' Advanced', ' Video', 'Docs']"
Introduction to Artificial Intelligence (AI),https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=40328&murl=https://www.coursera.org/learn/introduction-to-ai, (coursera.org) ,"['Paid', ' Video', ' Beginner', 'Docs']"
Natural Language Processing Using Python Certification Training,https://intellipaat.com/nlp-training-course-using-python, (intellipaat.com) ,"['Paid', ' Beginner', 'NLP - Natural Language Processing', 'Docs']"
IBM AI Enterprise Workflow Specialization,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=40328&murl=https://www.coursera.org/specializations/ibm-ai-workflow, (coursera.org) ,"['Paid', ' Video', 'Docs']"
Artificial Intelligence Full Course | Simplilearn,https://www.youtube.com/watch?v=8Pyy2d3SZuM, (youtube.com) ,"['Free', ' Video', ' Beginner', 'Docs']"
Succeeding with AI,https://www.manning.com/books/succeeding-with-ai?a_aid=hackrio, (manning.com) ,"['Paid', ' Book', ' Beginner', 'Docs']"
AI-Powered Search,https://www.manning.com/books/ai-powered-search?a_aid=hackrio, (manning.com) ,"['Paid', ' Book', ' Beginner', 'Docs']"
Artificial Intelligence Foundations: Machine Learning,https://linkedin-learning.pxf.io/zkrr6, (linkedin.com) ,"['Paid', ' Video', ' Beginner', 'Docs']"
Neural Network Tutorial | Intellipaat,https://www.youtube.com/watch?v=zxw4bCnTLHA, (youtube.com) ,"['Free', ' Beginner', 'Neural Network', 'Docs']"
Introduction to AI,https://www.experfy.com/training/courses/introduction-to-ai-b4c46d64-8cb4-4f6d-b74d-a4ad68814a04, (experfy.com) ,"['Paid', ' Beginner', 'Docs']"
Problem Solving with Artificial Intelligence,https://www.experfy.com/training/courses/problem-solving-with-artificial-intelligence, (experfy.com) ,"['Paid', ' Advanced', 'Docs']"
Applied AI: Artificial Intelligence with IBM Watson Specialization,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=40328&murl=https://www.coursera.org/specializations/applied-artifical-intelligence-ibm-watson-ai, (coursera.org) ,"['Paid', ' Video', ' Beginner', 'Docs']"
Hands-On Artificial Intelligence for Beginners,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=45060&murl=https://www.packtpub.com/big-data-and-business-intelligence/hands-artificial-intelligence-beginners, (packtpub.com) ,"['Paid', ' Book', ' Beginner', 'Docs']"
Artificial Intelligence: Reinforcement Learning in Python,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/artificial-intelligence-reinforcement-learning-in-python, (udemy.com) ,"['Paid', ' Video', ' Advanced', 'Reinforcement Learning', 'Docs']"
Uncertain Knowledge and Reasoning in Artificial Intelligence,https://www.experfy.com/training/courses/uncertain-knowledge-and-reasoning-in-artificial-intelligence, (experfy.com) ,"['Paid', ' Beginner', 'Docs']"
Artificial Intelligence with Python – Deep Neural Networks,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=45060&murl=https://www.packtpub.com/big-data-and-business-intelligence/artificial-intelligence-with-python-deep-neural-networks-video, (packtpub.com) ,"['Video', ' Beginner', ' Paid', 'Deep Learning']"
Artificial Intelligence for Big Data,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=45060&murl=https://www.packtpub.com/big-data-and-business-intelligence/artificial-intelligence-big-data, (packtpub.com) ,"['Book', ' Advanced', ' Paid']"
Hands-on Artificial Intelligence with TensorFlow,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=45060&murl=https://www.packtpub.com/big-data-and-business-intelligence/hands-artificial-intelligence-tensorflow-video, (packtpub.com) ,"['Paid', ' Video', ' Advanced', 'TensorFlow', 'Docs']"
Artificial Intelligence Tutorial,http://nptel.ac.in/courses/Webcourse-contents/IIT%20Kharagpur/Artificial%20intelligence/New_index1.html, (nptel.ac.in) ,"['Free', 'Docs']"
