courses,course_links,websiteNames,course_tags
Become a Cloud Developer,https://imp.i115008.net/D5VRb, (udacity.com) ,"['Paid', ' Video', ' Beginner', 'AWS Lambda', 'Docs']"
AWS Security,https://www.manning.com/books/aws-security?a_aid=hackrio, (manning.com) ,"['Paid', ' Book', ' Video', 'Security', 'Docs']"
Amazon EC2 - AWS Documentation,https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/concepts.html, (docs.aws.amazon.com) ,"['Free', 'EC2', 'Docs']"
AWS Certified Solutions Architect - Associate 2018,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/aws-certified-solutions-architect-associate/, (udemy.com) ,"['Paid', ' Video', 'AWS Certification', 'Docs']"
AWS Fundamentals: Going Cloud-Native,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=40328&murl=https://www.coursera.org/learn/aws-fundamentals-going-cloud-native, (coursera.org) ,"['Free', ' Video', ' Beginner', 'Docs']"
AWS Certified Cloud Practitioner 2019,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/aws-certified-cloud-practitioner, (udemy.com) ,"['Paid', ' Video', ' Beginner', 'AWS Certification', 'Docs']"
Amazon Web Services Fundamentals for System Administrators,http://pluralsight.pxf.io/c/1419154/610243/7490, (pluralsight.com) ,"['Paid', ' Video', ' Beginner', 'Docs']"
AWS DynamoDB Deep Dive,https://pluralsight.pxf.io/5BMY9, (pluralsight.com) ,"['Paid', ' Video', ' Advanced', 'AWS DynamoDB', 'Docs']"
Cloud Native (Designing change-tolerant software),https://www.manning.com/books/cloud-native?a_aid=hackrio, (manning.com) ,"['Paid', ' Book', ' Advanced', 'Docs']"
AWS Certified Developer - Associate 2019,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/aws-certified-developer-associate/, (udemy.com) ,"['Paid', ' Video', 'AWS Certification', 'Docs']"
Cert Prep: AWS Certified Solutions Architect - Associate,https://linkedin-learning.pxf.io/eGggz, (linkedin.com) ,"['Paid', ' Video', ' Advanced', 'AWS Certification', 'Docs']"
Become an AWS Cloud Architect,https://imp.i115008.net/KVeye, (udacity.com) ,"['Paid', ' Video', ' Advanced', 'Docs']"
Developing Stream Processing Applications with AWS Kinesis,https://pluralsight.pxf.io/kPaZn, (pluralsight.com) ,"['Paid', ' Video', ' Advanced', 'AWS Kinesis', 'Docs']"
AWS IAM: The Cloud Engineer's Secure Cloud Handbook,https://courses.tetranoodle.com/p/aws-iam-the-cloud-engineer-secure-cloud-handbook, (courses.tetranoodle.com) ,"['Paid', ' Advanced', 'Docs']"
Ultimate AWS Certified Developer Associate 2019,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/aws-certified-developer-associate-2018-dva-c01/, (udemy.com) ,"['Paid', ' Video', ' Beginner', 'AWS Certification', 'Docs']"
Amazon Web Services in Action,https://www.manning.com/books/amazon-web-services-in-action?a_aid=hackrio, (manning.com) ,"['Free', ' Book', ' Beginner', 'Docs']"
Cloud Native Applications,https://www.manning.com/books/cloud-native-applications?a_aid=hackrio, (manning.com) ,"['Free', ' Book', ' Beginner', 'Docker RabbitMQ', 'Docs']"
AWS Certified Training,https://mindmajix.com/aws-certified-training, (mindmajix.com) ,"['Free', ' Video', 'Docs']"
Open Guides - AWS,https://github.com/open-guides/og-aws, (github.com) ,"['Free', ' Beginner', 'Docs']"
Application Security on AWS with Amazon Cognito,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/amazon-cognito/, (udemy.com) ,"['Paid', ' Video', 'Amazon Cognito', 'Docs']"
AWS Tutorial For Beginners | Edureka,https://www.youtube.com/watch?v=IT1X42D1KeA, (youtube.com) ,"['Free', ' Beginner', ' Video', 'Docs']"
