courses,course_links,websiteNames,course_tags
Docker and Kubernetes: The Complete Guide,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/docker-and-kubernetes-the-complete-guide, (udemy.com) ,"['Paid', ' Video', ' Beginner', 'Kubernetes', 'Docs']"
Docker and Kubernetes: The Complete Guide From Scratch 2020,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/course/kubernetes-from-scratch/, (udemy.com) ,"['Paid', ' Video', ' Beginner', 'Kubernetes', 'Docs']"
Getting Started with Docker,https://serversforhackers.com/getting-started-with-docker/, (serversforhackers.com) ,"['Free', 'Docs']"
Dockerlabs - Docker and Kubernetes,http://dockerlabs.collabnix.com, (dockerlabs.collabnix.com) ,"['Free', ' Advanced', 'Kubernetes', 'Docs']"
Learn Docker in 12 Minutes,https://www.youtube.com/watch?v=YFl2mCHdv24, (youtube.com) ,"['Free', ' Video', 'Docs']"
Docker Mastery: The Complete Toolset From a Docker Captain,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/docker-mastery/, (udemy.com) ,"['Paid', ' Video', 'Docs']"
Docker for Beginners,http://prakhar.me/docker-curriculum/, (prakhar.me) ,"['Free', 'Docs']"
Docker for DevOps and Developers,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/docker-tutorial-for-devops-run-docker-containers/, (udemy.com) ,"['Paid', ' Video', ' Beginner', 'Docs']"
Docker & Containers Exercises,https://www.katacoda.com/courses/docker/, (katacoda.com) ,"['Free', 'Docs']"
Docker in Motion,https://www.manning.com/livevideo/docker-in-motion?a_aid=hackrio, (manning.com) ,"['Paid', ' Video', ' Beginner', 'Docs']"
Docker in Development,https://shippingdocker.com/docker-in-development/, (shippingdocker.com) ,"['Free', 'Docs']"
Getting Started with Docker | Pluralsight,http://pluralsight.pxf.io/c/1419154/610237/7490, (pluralsight.com) ,"['Paid', ' Video', ' Beginner', 'Docs']"
Docker for Beginners 2018 - Learn in 10 Days,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/docker-10days/, (udemy.com) ,"['Paid', ' Video', ' Beginner', 'Docs']"
Learn Docker by building a Microservice,http://www.dwmkerr.com/learn-docker-by-building-a-microservice/, (dwmkerr.com) ,"['Free', 'Docs']"
Introduction to Docker,https://sysadmincasts.com/episodes/31-introduction-to-docker, (sysadmincasts.com) ,"['Free', ' Video', 'Docs']"
Docker for Web Developers,http://pluralsight.pxf.io/c/1419154/610235/7490, (pluralsight.com) ,"['Paid', ' Video', ' Beginner', 'Docs']"
"Docker in Action, Second Edition",https://www.manning.com/books/docker-in-action-second-edition?a_aid=hackrio, (manning.com) ,"['Paid', ' Book', ' Beginner', 'Docs']"
Docker Full Course - Learn Docker In 2 Hours | Simplilearn,https://www.youtube.com/watch?v=iaz3ZP9lizg, (youtube.com) ,"['Free', ' Video', ' Beginner', 'Docs']"
Docker Tutorials | Learn2torials,https://learn2torials.com/category/docker, (learn2torials.com) ,"['Free', ' Advanced', 'Docs']"
Devops Training Online,https://svrtechnologies.com/devops-training, (svrtechnologies.com) ,"['Free', ' Video', ' Beginner', 'DevOps', 'Docs']"
Docker Tutorial,https://www.cosmiclearn.com/docker/, (cosmiclearn.com) ,"['Free', ' Beginner', 'Docs']"
Docker Tutorial for Beginners | Hashnode,https://hashnode.com/post/docker-tutorial-for-beginners-cjrj2hg5001s2ufs1nker9he2, (hashnode.com) ,"['Free', 'Docs']"
Docker Essentials,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/docker-essentials, (udemy.com) ,"['Free', ' Video', ' Beginner', 'Docs']"
Containers and Docker,https://www.ibm.com/cloud/garage/content/course/containers-and-docker/0, (ibm.com) ,"['Free', ' Beginner', 'Docs']"
"Introductory guide to Docker, Virtual Machines and Containers",https://medium.com/@sjolbordi/comprehensive-introductory-guide-to-docker-vms-and-containers-4e42a13ee103, (medium.com) ,"['Free', ' Beginner', 'Docs']"
