courses,course_links,websiteNames,course_tags
Google Cloud Platform in Action,https://www.manning.com/books/google-cloud-platform-in-action?a_aid=hackrio, (manning.com) ,"['Paid', ' Book', ' Beginner', 'Docs']"
Google Cloud Platform Fundamentals: Core Infrastructure,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=40328&murl=https://www.coursera.org/learn/gcp-fundamentals/, (coursera.org) ,"['Free', ' Video', ' Beginner', 'Docs']"
An Introduction to Google Cloud Platform for Data Engineers,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/an-introduction-to-google-cloud-platform-for-data-engineers/, (udemy.com) ,"['Paid', ' Video', 'Docs']"
Google Cloud Platform Essential Training,https://linkedin-learning.pxf.io/Oqybn, (linkedin.com) ,"['Paid', ' Video', ' Beginner', 'Docs']"
Cloud Engineering with GCP Professional Certificate,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=40328&murl=https://www.coursera.org/professional-certificates/cloud-engineering-gcp, (coursera.org) ,"['Paid', ' Video', ' Advanced', 'GCP Cloud Engineer Certification', 'Docs']"
Developing Applications with Google Cloud Platform Specialisation,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=40328&murl=https://www.coursera.org/specializations/developing-apps-gcp, (coursera.org) ,"['Paid', ' Video', 'Docs']"
Data Engineering with GCP Professional Certificate,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=40328&murl=https://www.coursera.org/professional-certificates/gcp-data-engineering, (coursera.org) ,"['Paid', ' Video', ' Advanced', 'Data Science', 'Docs']"
Architecting with Google Kubernetes Engine Specialization,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=40328&murl=https://www.coursera.org/specializations/architecting-google-kubernetes-engine, (coursera.org) ,"['Paid', ' Video', 'Kubernetes', 'Docs']"
Preparing for the Google Cloud Professional Cloud Architect Exam,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=40328&murl=https://www.coursera.org/learn/preparing-cloud-professional-cloud-architect-exam, (coursera.org) ,"['Paid', ' Video', ' Beginner', 'Google Cloud Certification', 'Docs']"
Preparing for the Google Cloud Professional Data Engineer Exam,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=40328&murl=https://www.coursera.org/learn/preparing-cloud-professional-data-engineer-exam, (coursera.org) ,"['Paid', ' Video', ' Beginner', 'Google Cloud Certification', 'Docs']"
Mitigating Security Vulnerabilities on Google Cloud Platform,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=40328&murl=https://www.coursera.org/learn/mitigating-security-vulnerabilites-gcp, (coursera.org) ,"['Paid', ' Video', ' Advanced', 'Docs']"
Building Resilient Streaming Systems on Google Cloud Platform,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=40328&murl=https://www.coursera.org/learn/building-resilient-streaming-systems-gcp, (coursera.org) ,"['Paid', ' Video', ' Beginner', 'Docs']"
