courses,course_links,websiteNames,course_tags
"Jenkins, From Zero To Hero: Become a DevOps Jenkins Master",https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/course/jenkins-from-zero-to-hero/, (udemy.com) ,"['Paid', ' Video', ' Beginner', 'Docs']"
Automating Jenkins with Groovy,https://pluralsight.pxf.io/mPg1q, (pluralsight.com) ,"['Paid', ' Video', 'Groovy', 'Docs']"
Jenkins Tutorial | DevOps Tool,https://www.youtube.com/playlist?list=PL9ooVrP1hQOGM6eCsjnfAousUSvpqD8dW, (youtube.com) ,"['Free', ' Video', 'Docs']"
Learn Jenkins Step by Step,https://www.youtube.com/playlist?list=PLhW3qG5bs-L_ZCOA4zNPSoGbnVQ-rp_dG, (youtube.com) ,"['Free', ' Video', 'Docs']"
CI/CD with Jenkins,https://www.youtube.com/playlist?list=PLCRqvOk_BGhVi_mT_urqoJqcndJkf2lDS, (youtube.com) ,"['Free', ' Beginner', 'Docs']"
Continuous Integration With Jenkins,http://www.vogella.com/tutorials/Jenkins/article.html, (vogella.com) ,"['Free', 'Docs']"
Getting Started with Jenkins (official docs),https://jenkins.io/doc/book/getting-started/, (jenkins.io) ,"['Free', 'Docs']"
Jenkins Full Course | Simplilearn,https://www.youtube.com/watch?v=FX322RVNGj4, (youtube.com) ,"['Free', ' Video', ' Beginner', 'Docs']"
Jenkins Tutorial For Beginners,https://www.youtube.com/watch?v=QaDNk1a8xFU, (youtube.com) ,"['Free', ' Video', ' Beginner', 'Docs']"
"Learn Continuous Integration, DevOps with Jenkins",https://courses.tetranoodle.com/p/learn-continuous-integration-java-dotnet-with-jenkins-and-git, (courses.tetranoodle.com) ,"['Paid', ' Advanced', 'Docs']"
Jenkins - The Definitive Guide,https://www.bogotobogo.com/DevOps/Jenkins/images/Intro_install/jenkins-the-definitive-guide.pdf, (bogotobogo.com) ,"['Free', ' Book', ' Beginner', 'Docs']"
Learn DevOps with Jenkins: All in One Guide,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/learn-devops-with-jenkins-all-in-one-guide, (udemy.com) ,"['Beginner', ' Video', ' Paid', 'Docs']"
