courses,course_links,websiteNames,course_tags
Linux Command Line Basics,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/linux-command-line-volume1/, (udemy.com) ,"['Paid', ' Video', ' Beginner', 'Docs']"
Learn Practical Data Sciences with Bash Shell,https://school.scientificprogramming.io/course/learn-practical-data-sciences-with-bash-shell/2, (school.scientificprogramming.io) ,"['Paid', ' Beginner', 'Bash', 'Docs']"
Introduction to Linux,http://www.awin1.com/cread.php?awinmid=6798&awinaffid=428263&p=https://www.edx.org/course/introduction-linux-linuxfoundationx-lfs101x-1, (edx.org) ,"['Free', ' Video', 'Docs']"
Learn the ways of Linux,https://linuxjourney.com/, (linuxjourney.com) ,"['Free', 'Docs']"
Linux by HakTuts,http://haktuts.github.io/Linux.html, (haktuts.github.io) ,"['Free', 'Docs']"
Linux System Administration Basics,https://www.linode.com/docs/tools-reference/linux-system-administration-basics/, (linode.com) ,"['Free', 'Docs']"
Shell Scripting Tutorials,https://www.youtube.com/playlist?list=PL7B7FA4E693D8E790, (youtube.com) ,"['Free', ' Video', ' Beginner', 'Shell Scripting', 'Docs']"
Bash Reference Manual,https://tiswww.case.edu/php/chet/bash/bashref.html, (tiscase.edu) ,"['Free', ' Beginner', 'Bash', 'Docs']"
The Linux Command Line: A Complete Introduction,https://geni.us/XQAMRwu, (amazon) ,"['Paid', ' Book', 'Docs']"
Learn Linux in 5 Days,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/learn-linux-in-5-days/, (udemy.com) ,"['Paid', ' Video', 'Docs']"
Introduction to Linux,https://training.linuxfoundation.org/linux-courses/system-administration-training/introduction-to-linux, (training.linuxfoundation.org) ,"['Free', 'Docs']"
Bash Scripting and Shell Programming,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/bash-scripting/, (udemy.com) ,"['Paid', ' Video', ' Beginner', 'Bash', 'Docs']"
Fundamentals of Red Hat Enterprise Linux,http://www.awin1.com/cread.php?awinmid=6798&awinaffid=428263&p=https://www.edx.org/course/fundamentals-red-hat-enterprise-linux-red-hat-rh066x, (edx.org) ,"['Free', ' Video', ' Beginner', 'Red Hat Enterprise Linux', 'Docs']"
Conquering the Command Line,http://conqueringthecommandline.com/book, (conqueringthecommandline.com) ,"['Free', ' Book', 'Docs']"
Linux Fundamentals,https://www.youtube.com/playlist?list=PL8A83A276F0D85E70, (youtube.com) ,"['Free', ' Video', 'Docs']"
The Linux Command Line,http://linuxcommand.org/tlcl.php, (linuxcommand.org) ,"['Free', 'Docs']"
Linux Training for Beginners,https://www.youtube.com/watch?v=HwElxgF9Y1U, (youtube.com) ,"['Free', ' Video', ' Beginner', 'Kali Linux', 'Docs']"
Linux Training,http://linux-training.be/, (linux-training.be) ,"['Free', ' Resources', 'Docs']"
Learn Enough Command Line to Be Dangerous,https://www.learnenough.com/command-line-tutorial, (learnenough.com) ,"['Free', 'Docs']"
Linux Tutorial For Beginners - 1 | Edureka,https://www.youtube.com/watch?v=v_1zB2WNN14, (youtube.com) ,"['Free', ' Beginner', ' Video', 'Docs']"
Linux in Motion,https://www.manning.com/livevideo/linux-in-motion?a_aid=hackrio, (manning.com) ,"['Paid', ' Video', ' Beginner', 'Docs']"
Linux/Unix Tutorial for Beginners,https://www.guru99.com/unix-linux-tutorial.html, (guru99.com) ,"['Free', ' Book', ' Beginner', 'Docs']"
Linux in Action,https://www.manning.com/books/linux-in-action?a_aid=hackrio, (manning.com) ,"['Paid', ' Book', ' Beginner', 'Docs']"
