courses,course_links,websiteNames,course_tags
Become a DevOps Engineer for Microsoft Azure,https://imp.i115008.net/yzRjG, (udacity.com) ,"['Paid', ' Video', ' Beginner', 'DevOps', 'Docs']"
Azure Tutorial for Beginners | Intellipaat,https://www.youtube.com/watch?v=R1sZNw-lb6Q, (youtube.com) ,"['Free', ' Video', ' Beginner', 'Docs']"
70-534 Architecting Microsoft Azure Solutions Certification,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/70534-azure/, (udemy.com) ,"['Paid', ' Video', ' Beginner', 'Microsoft Azure Certification', 'Docs']"
Azure Data Engineering,https://www.manning.com/books/azure-data-engineering?a_aid=hackrio, (manning.com) ,"['Paid', ' Book', ' Advanced', 'Docs']"
Azure Training,https://mindmajix.com/microsoft-azure-training, (mindmajix.com) ,"['Paid', ' Advanced', 'Microsoft Azure Certification', 'Docs']"
Azure DevOps Tutorial,https://intellipaat.com/blog/tutorial/microsoft-azure-tutorial/azure-devops-tutorial, (intellipaat.com) ,"['Free', ' Beginner', 'Docs']"
70-532 Developing Microsoft Azure Solutions Certification,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/70532-azure/, (udemy.com) ,"['Paid', ' Video', 'Microsoft Azure Certification', 'Docs']"
Azure Administrator AZ-103 Training Course | Intellipaat,https://www.youtube.com/watch?v=ki6rJwXzTSM, (youtube.com) ,"['Free', ' Advanced', 'Docs']"
Microsoft Azure Training | Intellipaat,https://www.youtube.com/watch?v=0bNFkI_0jhc, (youtube.com) ,"['Free', ' Beginner', 'Docs']"
Microsoft Azure Tutorial – Learn Microsoft Azure from Experts,https://intellipaat.com/blog/tutorial/microsoft-azure-tutorial, (intellipaat.com) ,"['Free', ' Beginner', 'Docs']"
"Learn Azure in a Month of Lunches, Second Edition",https://www.manning.com/books/learn-azure-in-a-month-of-lunches-second-edition?a_aid=hackrio, (manning.com) ,"['Paid', ' Book', ' Beginner', 'Docs']"
Microsoft Azure Training for Administration,https://intellipaat.com/microsoft-azure-training, (intellipaat.com) ,"['Paid', ' Video', ' Beginner', ' Certification', 'Microsoft Azure Certification', 'Docs']"
Azure Tutorial For Beginners,https://www.youtube.com/watch?v=oXK2kQOV5Yk, (youtube.com) ,"['Free', ' Video', ' Beginner', 'Docs']"
Microsoft Azure Training,https://onlineitguru.com/microsoft-azure-training.html, (onlineitguru.com) ,"['Beginner', ' Paid', ' Video', 'Docs']"
Learn Azure in a Month of Lunches,https://www.manning.com/books/learn-azure-in-a-month-of-lunches?a_aid=hackrio, (manning.com) ,"['Paid', ' Book', ' Beginner', 'Docs']"
Microsoft Azure Fabric Training,https://mindmajix.com/microsoft-azure-fabric-training, (mindmajix.com) ,"['Paid', ' Video', 'Docs']"
Microsoft Azure for Data Bricks Training,https://www.experfy.com/training/courses/welcome-to-microsoft-azure-for-data-bricks-training-big-data-and-data-science, (experfy.com) ,"['Paid', ' Beginner', 'Docs']"
Azure Resource Manager Templates Quick Start Guide,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=45060&murl=https://www.packtpub.com/virtualization-and-cloud/azure-resource-manager-templates-quick-start-guide, (packtpub.com) ,"['Paid', ' Book', ' Beginner', 'Docs']"
Microsoft Azure Power BI,https://www.experfy.com/training/courses/microsoft-azure-power-bi, (experfy.com) ,"['Paid', ' Beginner', 'Docs']"
Machine Learning In The Cloud With Azure Machine Learning,https://courses.tetranoodle.com/p/machine-learning-in-the-cloud-with-azure-machine-learning, (courses.tetranoodle.com) ,"['Paid', ' Advanced', 'Machine Learning', 'Docs']"
Introduction to Azure,https://docs.microsoft.com/en-us/learn/azure, (docs.microsoft.com) ,"['Free', ' Beginner', 'Docs']"
Azure MasterClass,https://courses.tetranoodle.com/p/manage-storage-and-disks-in-the-cloud-with-azure-storage, (courses.tetranoodle.com) ,"['Paid', ' Advanced', 'Docs']"
Hands-On DevOps on Azure,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=45060&murl=https://www.packtpub.com/virtualization-and-cloud/hands-devops-azure-video, (packtpub.com) ,"['Paid', ' Video', ' Advanced', 'Docs']"
Microsoft Azure Training Library,https://cloudacademy.com/library/azure, (cloudacademy.com) ,"['Paid', ' Video', ' Advanced', 'Docs']"
Azure Kubernetes Service,https://docs.microsoft.com/en-us/azure/aks, (docs.microsoft.com) ,"['Free', ' Beginner', 'Kubernetes', 'Docs']"
Cloud Application Architecture Guide,https://azure.microsoft.com/en-us/campaigns/cloud-application-architecture-guide, (azure.microsoft.com) ,"['Free', ' Book', ' Advanced', 'Docs']"
Reactor Events Tutorial: Azure Function,https://www.ably.io/tutorials/reactor-event-azure, (ably.io) ,"['Free', ' Beginner', 'Microsoft Azure Functions', 'Docs']"
Microsoft Azure Fundamentals,https://www.manipalprolearn.com/programs/microsoft-azure-fundamentals, (manipalprolearn.com) ,"['Paid', ' Advanced', 'Docs']"
