courses,course_links,websiteNames,course_tags
Puppet Tutorial,http://www.example42.com/tutorials/PuppetTutorial/, (example42.com) ,"['Free', 'Docs']"
Learning Puppet with Vagrant,https://sysadmincasts.com/episodes/8-learning-puppet-with-vagrant, (sysadmincasts.com) ,"['Free', ' Video', 'Docs']"
Puppet CookBook,http://www.puppetcookbook.com/, (puppetcookbook.com) ,"['Free', 'Docs']"
Puppet Tutorial for Beginners,https://www.tutorialandexample.com/puppet-tutorial, (tutorialandexample.com) ,"['Free', ' Beginner', 'Docs']"
Build your own Manageable Puppet Infrastructure,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/manageable-puppet-infrastructure/, (udemy.com) ,"['Paid', ' Video', 'Docs']"
Puppet Tutorial by Zariga Tongy,https://www.youtube.com/playlist?list=PLrUFyg1unBb-mkbm_cWwHd0ziigVK2tzj, (youtube.com) ,"['Free', ' Video', 'Docs']"
Puppet 5 – The Complete Beginner’s Guide,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/puppet-5-the-complete-beginners-guide, (udemy.com) ,"['Paid', ' Video', ' Beginner', 'Puppet 5', 'Docs']"
Puppet for the Absolute Beginners - Hands-on - DevOps,https://kodekloud.com/p/puppet-for-the-absolute-beginners-hands-on-devops, (kodekloud.com) ,"['Paid', ' Video', ' Beginner', 'Docs']"
Learn Puppet (official docs),https://puppet.com/download-learning-vm, (puppet.com) ,"['Free', 'Docs']"
Introduction to Puppet Roles and Profiles,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/introduction-to-puppet-roles-and-profiles, (udemy.com) ,"['Free', ' Video', ' Beginner', 'Docs']"
Mastering Puppet,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/mastering-puppet-the-devops-way/learn/v4/overview, (udemy.com) ,"['Paid', ' Video', ' Advanced', 'Docs']"
Power Puppet,http://learn.enviatics.com/p/power-puppet, (learn.enviatics.com) ,"['Paid', ' Video', ' Beginner', 'Docs']"
How To Use Puppet To Manage Your Servers,https://www.digitalocean.com/community/tutorial_series/how-to-use-puppet-to-manage-your-servers-2, (digitalocean.com) ,"['Free', 'Docs']"
