courses,course_links,websiteNames,course_tags
Blockchain and Bitcoin Fundamentals,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/blockchain-and-bitcoin-fundamentals/, (udemy.com) ,"['Paid', ' Beginner', ' Video', 'Docs']"
Bitcoin Resources,http://lopp.net/bitcoin.html, (lopp.net) ,"['Free', ' Beginner', ' Resources', 'Docs']"
Bitcoin and Cryptocurrency Technologies | Coursera,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=40328&murl=https://www.coursera.org/learn/cryptocurrency, (coursera.org) ,"['Free', ' Video', ' Beginner', 'Docs']"
Bitcoin and Cryptocurrency Technologies | Princeton,http://bitcoinbook.cs.princeton.edu, (bitcoinbook.cs.princeton.edu) ,"['Free', ' Video', ' Advanced', 'Docs']"
Introduction to Digital Currencies,https://digitalcurrency.unic.ac.cy/free-introductory-mooc/, (digitalcurrency.unic.ac.cy) ,"['Free', ' Video', ' Beginner', 'Docs']"
Mastering Bitcoin: Programming the Open Blockchain,https://geni.us/JuO9Yy, (amazon) ,"['Paid', ' Book', ' Advanced', 'Docs']"
Cryptocurrency For Dummies Course: Ethereum vs Bitcoin and Much More,https://www.bitdegree.org/course/introduction-to-cryptocurrencies, (bitdegree.org) ,"['Video', ' Beginner', ' Paid']"
Bitcoin and Cryptocurrency Technologies Online Course,https://www.youtube.com/channel/UCNcSSleedtfyDuhBvOQzFzQ/videos, (youtube.com) ,"['Free', ' Video', ' Beginner', 'Docs']"
BTC101: Intro to Bitcoin,https://courses.blockgeeks.com/course/btc101-intro-bitcoin, (courses.blockgeeks.com) ,"['Paid', ' Video', ' Beginner', 'Docs']"
Bitcoin and Cryptocurrency Bootcamp,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/bitcoin-and-cryptocurrency-bootcamp/, (udemy.com) ,"['Paid', ' Video', ' Beginner', 'Docs']"
Certified Bitcoin Professional: Pass The Certification Exam,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/bitcoin-certification/, (udemy.com) ,"['Paid', ' Video', ' Beginner', 'Docs']"
Grokking Bitcoin,https://www.manning.com/books/grokking-bitcoin?a_aid=hackrio, (manning.com) ,"['Paid', ' Book', ' Beginner', 'Docs']"
Programming Bitcoin: Learn How to Program Bitcoin from Scratch,https://geni.us/pDJPU4T, (amazon) ,"['Paid', ' Book', ' Beginner', 'Docs']"
Bitcoin Overview,https://www.khanacademy.org/economics-finance-domain/core-finance/money-and-banking/bitcoin/v/bitcoin-what-is-it, (khanacademy.org) ,"['Free', ' Video', ' Beginner', 'Docs']"
