courses,course_links,websiteNames,course_tags
Python and Django Full Stack Web Developer Bootcamp,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/python-and-django-full-stack-web-developer-bootcamp/, (udemy.com) ,"['Paid', ' Video', ' Beginner', 'Django 1.11', 'Docs']"
Django Girls Tutorial,http://tutorial.djangogirls.org/en/index.html, (tutorial.djangogirls.org) ,"['Free', 'Docs']"
Tango With Django,http://www.tangowithdjango.com/, (tangowithdjango.com) ,"['Paid', ' Book', 'Docs']"
Writing your first Django app,https://docs.djangoproject.com/en/3.0/intro/, (docs.djangoproject.com) ,"['Free', ' Resources', 'Django 3.0', 'Docs']"
Intro to Django,https://overiq.com/django/1.10/intro-to-django/, (overiq.com) ,"['Free', ' Beginner', 'Django 1.10', 'Docs']"
A Beginner's Guide to Django,https://simpleisbetterthancomplex.com/series/beginners-guide/1.11/, (simpleisbetterthancomplex.com) ,"['Free', ' Beginner', 'Docs']"
Introduction - Django Web Development with Python,https://www.youtube.com/watch?list=PLQVvvaa0QuDeA05ZouE4OzDYLHY-XH-Nd&v=FNQxxpM1yOs, (youtube.com) ,"['Free', ' Video', 'Docs']"
The Django Book,https://djangobook.com/mastering-django-2-book/, (djangobook.com) ,"['Free', 'Django 1.8', 'Docs']"
Django Tutorials | Corey Schafer,https://www.youtube.com/playlist?list=PL-osiE80TeTtoQCKZ03TU5fNfx2UY6U4p, (youtube.com) ,"['Free', ' Video', ' Beginner', 'Django 2.1', 'Docs']"
Django Tutorials for Beginners,https://www.youtube.com/playlist?list=PL6gx4Cwl9DGBlmzzFcLgDhKTTfNLfX1IK, (youtube.com) ,"['Free', ' Video', 'Docs']"
Scaling Django,https://www.digitalocean.com/community/tutorial_series/scaling-django, (digitalocean.com) ,"['Free', ' Advanced', 'Docs']"
Django (3.0) Crash Course Tutorials,https://www.youtube.com/playlist?list=PL-51WBLyFTg2vW-_6XBoUpE7vpmoR3ztO, (youtube.com) ,"['Free', ' Beginner', ' Video', 'Docs']"
Try Django 1.9 -- Build a Django Blog,https://www.youtube.com/watch?v=yfgsklK_yFo&list=PLEsfXFp6DpzQFqfCur9CJ4QnKQTVXUsRy, (youtube.com) ,"['Free', ' Video', 'Docs']"
Python Django Tutorial,https://www.youtube.com/watch?v=BLrGJvFp75M, (youtube.com) ,"['Free', ' Video', ' Beginner', 'Docs']"
Django for Beginners: Build websites with Python and Django,https://geni.us/IvGdB, (amazon) ,"['Paid', ' Book', ' Beginner', 'Django 2.0', 'Docs']"
A Complete Beginner's Guide to Django,https://simpleisbetterthancomplex.com/series/beginners-guide/1.11/, (simpleisbetterthancomplex.com) ,"['Free', ' Beginner', 'Docs']"
Django For Beginners,https://djangoforbeginners.com, (djangoforbeginners.com) ,"['Paid', ' Book', 'Docs']"
Learn Django (by Mozilla Developer Network),https://developer.mozilla.org/en-US/docs/Learn/Server-side/Django, (developer.mozilla.org) ,"['Free', 'Docs']"
Build an Ecommerce WebApp with Django,https://codersdiaries.com/courses/build-an-ecommerce-with-django, (codersdiaries.com) ,"['Paid', ' Video', ' Beginner', 'Docs']"
Django Lessons,https://django-lessons.com, (django-lessons.com) ,"['Free', ' Video', ' Advanced', 'Docs']"
Become a Full-Stack Django and VueJS Developer,https://courses.djangowaves.com, (courses.djangowaves.com) ,"['Paid', ' Book', ' Beginner', 'Vue.js', 'Docs']"
Django 2 by Example,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=45060&murl=https://www.packtpub.com/application-development/django-2-example, (packtpub.com) ,"['Paid', ' Book', ' Beginner', 'Django 2.0', 'Docs']"
Django 2 & Python - The Ultimate Web Development Bootcamp,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/the-ultimate-beginners-guide-to-django-django-2-python-web-dev-website, (udemy.com) ,"['Paid', ' Video', ' Beginner', 'Docs']"
Django Tutorials,https://www.youtube.com/playlist?list=PLXmMXHVSvS-DQfOsQdXkzEZyD0Vei7PKf, (youtube.com) ,"['Free', ' Video', ' Beginner', 'Django 2.0', 'Docs']"
Learn Django and Python Development By Building Projects,https://www.eduonix.com/courses/Web-Development/Learn-Django-and-Python-Development-By-Building-Projects, (eduonix.com) ,"['Free', ' Advanced', ' Video', 'Docs']"
Try Django 1.11,https://www.codingforentrepreneurs.com/projects/try-django-111, (codingforentrepreneurs.com) ,"['Free', ' Video', ' Advanced', 'Django 1.11', 'Docs']"
Django Web Development with Python,https://www.youtube.com/playlist?list=PLQVvvaa0QuDeA05ZouE4OzDYLHY-XH-Nd, (youtube.com) ,"['Free', ' Video', 'Docs']"
Django for Beginners,https://www.goskills.com/Course/Django-Beginners, (goskills.com) ,"['Paid', ' Beginner', 'Docs']"
Django 3 By Example - Third Edition,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=45060&murl=https://www.packtpub.com/web-development/django-3-by-example-third-edition, (packtpub.com) ,"['Paid', ' Book', ' Advanced', 'Django 3.0', 'Docs']"
Django Tutorial | Tech With Tim,http://techwithtim.net/tutorials/django, (techwithtim.net) ,"['Free', ' Beginner', 'Docs']"
Mastering Django Part 1,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/mastering-django-part-1-forms-class-based-views-ajax, (udemy.com) ,"['Paid', ' Advanced', 'Ajax', 'Docs']"
Python Django Dev To Deployment,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/python-django-dev-to-deployment, (udemy.com) ,"['Paid', ' Video', ' Beginner', 'Docs']"
Django 2.1 - Python Web Development for Beginners,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/django-21-python-web-development-for-beginners/, (udemy.com) ,"['Paid', ' Video', ' Beginner', 'Docs']"
Build a Twitter-like app step by step with Django,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/tweetme-django, (udemy.com) ,"['Video', ' Beginner', ' Paid', 'Django 1.10']"
Django Tutorial,https://www.youtube.com/playlist?list=PLw02n0FEB3E3VSHjyYMcFadtQORvl1Ssj, (youtube.com) ,"['Free', ' Beginner', ' Video', 'Docs']"
Django Core | A Reference Guide to Core Django Concepts,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/django-core/, (udemy.com) ,"['Paid', ' Video', ' Beginner', 'Django 1.10', 'Docs']"
Building a Hacker News clone in Django,http://arunrocks.com/building-a-hacker-news-clone-in-django-part-1/, (arunrocks.com) ,"['Free', 'Docs']"
