courses,course_links,websiteNames,course_tags
"Master Electron: Desktop Apps using HTML, JavaScript & CSS",https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/master-electron, (udemy.com) ,"['Paid', ' Video', ' Beginner', 'Docs']"
Electron: Cross-platform Desktop Apps Made Easy,https://www.toptal.com/javascript/electron-cross-platform-desktop-apps-easy, (toptal.com) ,"['Free', ' Beginner', 'Docs']"
Electron for Desktop Apps: The Complete Developer's Guide,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/electron-react-tutorial/, (udemy.com) ,"['Paid', ' Video', ' Beginner', 'Docs']"
Electron Quick Start Tutorial (official docs),https://electron.atom.io/docs/tutorial/quick-start/, (electron.atom.io) ,"['Free', 'Docs']"
Build an Electron App in Under 60 Minutes,https://www.youtube.com/watch?v=kN1Czs0m1SU, (youtube.com) ,"['Free', ' Video', ' Beginner', 'Docs']"
Electron Tutorial App,https://github.com/crilleengvall/electron-tutorial-app, (github.com) ,"['Free', ' Beginner', 'Docs']"
Electron Fundamentals,https://pluralsight.pxf.io/2BQyg, (pluralsight.com) ,"['Paid', ' Video', ' Beginner', 'Docs']"
Electron js Tutorials,https://www.youtube.com/playlist?list=PLC3y8-rFHvwiCJD3WrAFUrIMkGVDE0uqW, (youtube.com) ,"['Free', ' Video', 'Docs']"
Building a desktop application with Electron,https://medium.com/developers-writing/building-a-desktop-application-with-electron-204203eeb658, (medium.com) ,"['Free', ' Beginner', ' Exercises/Practice-programs', 'Docs']"
Projects in Electron: Learn Electron Framework Building Apps,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/projects-in-electron-learn-electron-framework-building-apps/, (udemy.com) ,"['Beginner', ' Video', ' Paid', 'Docs']"
Cross-Platform Desktop Applications,https://www.manning.com/books/cross-platform-desktop-applications?a_aid=hackrio, (manning.com) ,"['Paid', ' Book', ' Beginner', 'Docs']"
Electron in Action,https://www.manning.com/books/electron-in-action?a_aid=hackrio, (manning.com) ,"['Paid', ' Book', ' Advanced', 'Docs']"
Projects in Electron: Learn to Build Real World Desktop Apps,https://www.eduonix.com/projects-in-electron-learn-to-real-world-build-desktop-apps, (eduonix.com) ,"['Paid', ' Beginner', ' Video', ' Exercises/Practice-programs', 'Docs']"
