courses,course_links,websiteNames,course_tags
The Complete Elixir and Phoenix Bootcamp,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/the-complete-elixir-and-phoenix-bootcamp-and-tutorial/, (udemy.com) ,"['Paid', ' Video', 'Phoenix', 'Docs']"
Elixir School,https://elixirschool.com/en/, (elixirschool.com) ,"['Free', 'Docs']"
From Zero to Hero in Elixir,https://www.youtube.com/playlist?list=PLaY7qWIrmqtFoZLvOvYRZG5hl367UybRp, (youtube.com) ,"['Free', ' Video', ' Beginner', 'Docs']"
Learn Elixir and Phoenix by building things,https://alchemist.camp, (alchemist.camp) ,"['Free', ' Video', ' Beginner', 'Docs']"
Elixir and Phoenix Screencasts,https://elixircasts.io, (elixircasts.io) ,"['Free', ' Video', ' Beginner', 'Phoenix', 'Docs']"
Developing With Elixir/OTP,https://pragmaticstudio.com/courses/elixir, (pragmaticstudio.com) ,"['Paid', ' Video', ' Beginner', 'Docs']"
Elixir for Programmers,https://codestool.coding-gnome.com/courses/elixir-for-programmers, (codestool.coding-gnome.com) ,"['Paid', ' Video', ' Advanced', 'Docs']"
Try Elixir,https://pluralsight.pxf.io/6RPnV, (pluralsight.com) ,"['Paid', ' Video', 'Docs']"
Elixir in Action (2nd Edition),https://www.manning.com/books/elixir-in-action-second-edition?a_aid=hackrio, (manning.com) ,"['Paid', ' Book', ' Advanced', 'Docs']"
Elixir Web Development 101,https://blog.openbloc.fr/elixir-web-development-101-first-steps/, (blog.openbloc.fr) ,"['Free', 'Phoenix', 'Docs']"
Joy of Elixir,https://joyofelixir.com/toc.html, (joyofelixir.com) ,"['Free', ' Beginner', 'Docs']"
Discover Elixir & Phoenix,https://www.ludu.co/course/discover-elixir-phoenix, (ludu.co) ,"['Paid', ' Beginner', 'Docs']"
"Building Web Apps with Elixir, Phoenix and LiveView",https://fullstackphoenix.com, (fullstackphoenix.com) ,"['Free', ' Beginner', 'Phoenix', 'Docs']"
Phoenix Inside Out,https://shankardevy.com/phoenix-book/, (shankardevy.com) ,"['Paid', ' Book', ' Beginner', 'Phoenix', 'Docs']"
Elixir Tutorial,https://www.youtube.com/playlist?list=PLJbE2Yu2zumAgKjSPyFtvYjP5LqgzafQq, (youtube.com) ,"['Free', ' Video', ' Beginner', 'Docs']"
Elixir Tutorial,https://www.youtube.com/watch?v=pBNOavRoNL0, (youtube.com) ,"['Free', ' Video', ' Beginner', 'Docs']"
Introduction to Elixir (official docs),https://elixir-lang.org/getting-started/introduction.html, (elixir-lang.org) ,"['Free', ' Beginner', 'Docs']"
Elixir and Phoenix for Beginners,https://courses.knowthen.com/p/elixir-and-phoenix-for-beginners, (courses.knowthen.com) ,"['Paid', ' Video', ' Beginner', 'Phoenix', 'Docs']"
Phoenix in Action,https://www.manning.com/books/phoenix-in-action?a_aid=hackrio, (manning.com) ,"['Paid', ' Book', ' Beginner', 'Phoenix', 'Docs']"
The Little Elixir & OTP Guidebook,https://www.manning.com/books/the-little-elixir-and-otp-guidebook?a_aid=hackrio, (manning.com) ,"['Paid', ' Book', ' Beginner', 'Docs']"
Elixir Programming for Beginners,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/elixir-programming-for-beginners, (udemy.com) ,"['Free', ' Video', ' Beginner', 'Docs']"
Video Guide to Elixir,https://www.learnelixir.tv, (learnelixir.tv) ,"['Paid', ' Video', ' Beginner', 'Docs']"
Video Guide to Phoenix,https://www.learnphoenix.tv/, (learnphoenix.tv) ,"['Paid', ' Video', ' Beginner', 'Phoenix', 'Docs']"
Elixir for Rubyists,https://startlearningelixir.com/elixir-for-rubyists, (startlearningelixir.com) ,"['Free', 'Docs']"
