courses,course_links,websiteNames,course_tags
"The Definitive, Step-by-Step Guide to Git",https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/git-complete/, (udemy.com) ,"['Paid', ' Video', 'Docs']"
Practical Git for Everyday Professional Use,https://egghead.io/courses/practical-git-for-everyday-professional-use, (egghead.io) ,"['Free', ' Beginner', 'Docs']"
Pro Git Book by Scott Chacon and Ben Straub,http://git-scm.com/book/en/v2, (git-scm.com) ,"['Free', 'Docs']"
Git Guru Guide by Atlassian,https://www.atlassian.com/git/tutorials/, (atlassian.com) ,"['Free', 'Docs']"
git - the simple guide,http://rogerdudler.github.io/git-guide/, (rogerdudler.github.io) ,"['Free', 'Docs']"
Git Immersion,http://gitimmersion.com/, (gitimmersion.com) ,"['Free', 'Docs']"
Mastering Git Basics by Tom Preston-Werner,http://vimeo.com/17118008, (vimeo.com) ,"['Free', ' Video', 'Docs']"
Learn Git (Interactive Tutorial),https://www.pjatr.com/t/TUJGR0lLR0JHRklKSkdCR0ZISk1N?url=https://www.codecademy.com/learn/learn-git, (codecademy.com) ,"['Exercises/Practice-programs', ' Paid', 'Docs']"
How to Use Git and GitHub,https://www.anrdoezrs.net/links/8752481/type/dlg/https://www.udacity.com/course/how-to-use-git-and-github--ud775, (udacity.com) ,"['Free', ' Video', 'Docs']"
Learn Git Branching,https://learngitbranching.js.org/, (learngitbranching.js.org) ,"['Free', ' Advanced', ' Exercises/Practice-programs', 'Docs']"
PDF on Git Internals,https://github.com/pluralsight/git-internals-pdf, (github.com) ,"['Free', ' Advanced', 'Docs']"
Think Like (a) Git,http://think-like-a-git.net/, (think-like-a-git.net) ,"['Free', ' Advanced', 'Docs']"
How Git Works,https://pluralsight.pxf.io/Pqrmz, (pluralsight.com) ,"['Paid', ' Video', 'Docs']"
Git in Action,http://vimeo.com/16395537, (vimeo.com) ,"['Free', ' Video', 'Docs']"
Getting Started with Git,https://www.taniarascia.com/getting-started-with-git/, (taniarascia.com) ,"['Free', ' Beginner', 'Docs']"
Learn Git,https://www.codeschool.com/learn/git, (codeschool.com) ,"['Paid', ' Video', 'Docs']"
Github Tutorial For Beginners,http://youtu.be/0fKg7e37bQE, (youtu.be) ,"['Free', ' Video', 'Docs']"
Git and Github - The New Boston,https://www.youtube.com/watch?v=cEGIFZDyszA&list=PL6gx4Cwl9DGAKWClAD_iKpNC0bGHxGhcx, (youtube.com) ,"['Free', ' Video', 'Docs']"
The Git Parable,http://tom.preston-werner.com/2009/05/19/the-git-parable.html, (tom.preston-werner.com) ,"['Free', 'Docs']"
Git Tutorial for Beginners,https://www.youtube.com/watch?v=dnGeRjP8oxw&, (youtube.com) ,"['Free', ' Video', ' Advanced', 'Docs']"
Interactive Git Cheatsheet,http://ndpsoftware.com/git-cheatsheet.html#loc=workspace;, (ndpsoftware.com) ,"['Free', 'Docs']"
A Simple Git and Github Tutorial,https://scitronboy.github.io/code/2018/simple-git-github-tutorial, (scitronboy.github.io) ,"['Free', ' Beginner', 'Docs']"
A Guide to Git and Github,https://launchschool.com/books/git, (launchschool.com) ,"['Free', ' Book', ' Beginner', 'Docs']"
Getting Started with Git | Instruqt,https://play.instruqt.com/public/topics/getting-started-with-git, (play.instruqt.com) ,"['Free', ' Beginner', 'Docs']"
Learning GitHub,https://www.youtube.com/playlist?list=PLyuRouwmQCjlxyO-45o53YCWjBCM-fA7L, (youtube.com) ,"['Free', ' Video', ' Beginner', 'Docs']"
Github Introduction to Version Control and Remote Files,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/github-introduction-to-version-control-and-remote-files/, (udemy.com) ,"['Video', ' Beginner', ' Paid']"
Git from the inside out,https://codewords.recurse.com/issues/two/git-from-the-inside-out, (codewords.recurse.com) ,"['Free', 'Docs']"
Learn Git in 15 mins (from GitHub),https://try.github.io/, (try.github.io) ,"['Free', ' Exercises/Practice-programs', 'Docs']"
Learn Version Control with Git,http://www.git-tower.com/learn/ebook/command-line/introduction, (git-tower.com) ,"['Free', 'Docs']"
GIT Magic by Stanford,http://www-cs-students.stanford.edu/~blynn/gitmagic/, (www-cs-students.stanford.edu) ,"['Free', 'Docs']"
Complete Git Guide: Understand and master Git and GitHub,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/course/git-and-github-complete-guide, (udemy.com) ,"['Paid', ' Video', ' Beginner', 'Docs']"
Git Essential Training: The Basics,https://www.linkedin.com/learning/git-essential-training-the-basics, (linkedin.com) ,"['Paid', ' Video', ' Beginner', 'Docs']"
Git for Beginners | Travels Code,https://www.youtube.com/playlist?list=PLCRqvOk_BGhUcqxZbO2fZvC0nw8vWcgbE, (youtube.com) ,"['Free', ' Video', ' Beginner', 'Docs']"
Git | Learn2torials,https://learn2torials.com/category/git, (learn2torials.com) ,"['Free', ' Beginner', 'Docs']"
Git Beginner | Udemy,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/course/git-beginner, (udemy.com) ,"['Paid', ' Video', ' Beginner', 'Docs']"
Git Crash Course | Simplilearn,https://www.youtube.com/watch?v=hDxIdPxKt5w, (youtube.com) ,"['Free', ' Video', ' Beginner', 'Docs']"
Write yourself a Git!,https://wyag.thb.lt, (wyag.thb.lt) ,"['Free', 'Docs']"
Git Training,https://mindmajix.com/git-training, (mindmajix.com) ,"['Free', ' Beginner', 'Docs']"
Git and Github,https://online.codingblocks.com/courses/git-github, (online.codingblocks.com) ,"['Paid', ' Video', ' Beginner', 'Docs']"
Git Tutorials | Selenium T Point,https://seleniumtpoint.com/git, (seleniumtpoint.com) ,"['Free', ' Beginner', 'Docs']"
Git Me Some Version Control,https://laracasts.com/series/git-me-some-version-control, (laracasts.com) ,"['Free', ' Video', ' Beginner', 'Docs']"
Git & GitHub Tutorial for Beginners,https://www.youtube.com/playlist?list=PL4cUxeGkcC9goXbgTDQ0n_4TBzOO0ocPR, (youtube.com) ,"['Free', ' Video', ' Beginner', 'Docs']"
Git & GitHub Crash Course For Beginners,https://www.youtube.com/watch?v=SWYqp7iY_Tc, (youtube.com) ,"['Free', ' Video', ' Beginner', 'Docs']"
GitHub & Collaboration,https://www.anrdoezrs.net/links/8752481/type/dlg/https://www.udacity.com/course/version-control-with-git--ud123, (udacity.com) ,"['Free', ' Video', ' Beginner', 'Docs']"
Git and GitHub for Poets,https://www.youtube.com/playlist?list=PLRqwX-V7Uu6ZF9C0YMKuns9sLDzK6zoiV, (youtube.com) ,"['Free', ' Video', ' Beginner', 'Docs']"
Git and GitHub Essentials - Learn Step by Step,https://devscreencast.com/courses/git-and-github-essentials-learn-step-by-step, (devscreencast.com) ,"['Free', ' Video', ' Beginner', 'Docs']"
Learn Git from Scratch,https://labex.io/courses/3, (labex.io) ,"['Free', ' Beginner', 'Docs']"
Git Tutorials,https://www.youtube.com/playlist?list=PL6gx4Cwl9DGAKWClAD_iKpNC0bGHxGhcx, (youtube.com) ,"['Free', ' Video', 'Docs']"
Learn Git in 20 Minutes,https://www.youtube.com/watch?v=Y9XZQO1n_7c, (youtube.com) ,"['Free', ' Video', 'Docs']"
Learn Enough Git to Be Dangerous,http://www.learnenough.com/git-tutorial, (learnenough.com) ,"['Free', 'Docs']"
Get Started with Git and GitHub,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/short-and-sweet-get-started-with-git-and-github-right-now/, (udemy.com) ,"['Free', ' Video', 'Docs']"
