courses,course_links,websiteNames,course_tags
Kotlin Bootcamp for Programmers,https://imp.i115008.net/xB9zy, (udacity.com) ,"['Free', ' Beginner', 'Docs']"
The Joy of Kotlin,https://www.manning.com/books/the-joy-of-kotlin?a_aid=hackrio, (manning.com) ,"['Paid', ' Book', ' Advanced', 'Functional Programming', 'Docs']"
Learn Kotlin while developing an Android App,https://medium.com/@juanchosaravia/learn-kotlin-while-developing-an-android-app-introduction-567e21ff9664, (medium.com) ,"['Free', ' Beginner', 'Docs']"
Kotlin Tutorial (official docs),https://kotlinlang.org/docs/tutorials/, (kotlinlang.org) ,"['Free', ' Beginner', 'Docs']"
Android Kotlin Developer Course,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/the-complete-kotlin-developer-course/, (udemy.com) ,"['Paid', ' Video', ' Beginner', 'Docs']"
Kotlin Tutorial for Beginners: Basics and Fundamentals for Android,https://www.youtube.com/playlist?list=PLlxmoA0rQ-LwgK1JsnMsakYNACYGa1cjR, (youtube.com) ,"['Free', ' Video', ' Beginner', 'Docs']"
Kotlin in Action,https://www.manning.com/books/kotlin-in-action?a_aid=hackrio, (manning.com) ,"['Paid', ' Book', 'Docs']"
Kotlin for Beginners,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/course/kotlin-course, (udemy.com) ,"['Paid', ' Video', ' Beginner', 'Docs']"
Kotlin for Java Developers,http://treehouse.7eer.net/c/383034/228915/3944?u=https://teamtreehouse.com/library/kotlin-for-java-developers, (teamtreehouse.com) ,"['Paid', ' Video', 'Docs']"
Kotlin for Java Developers | Coursera,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=40328&murl=https://www.coursera.org/learn/kotlin-for-java-developers, (coursera.org) ,"['Video', ' Advanced']"
Kotlin Tutorial,https://www.youtube.com/watch?v=H_oGi8uuDpA, (youtube.com) ,"['Free', ' Video', ' Beginner', 'Docs']"
Android Development with Kotlin,https://www.youtube.com/watch?v=A2LukgT2mKc, (youtube.com) ,"['Free', ' Video', ' Beginner', 'Docs']"
Kotlin Crash Course for Programmers,https://www.educative.io/courses/kotlin-crash-course-for-programmers, (educative.io) ,"['Paid', ' Beginner', 'Docs']"
Advanced Android with Kotlin,https://imp.i115008.net/LJPR0, (udacity.com) ,"['Free', ' Video', ' Advanced', 'Docs']"
Android Programming with Kotlin for Beginners,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=45060&murl=https://www.packtpub.com/application-development/android-programming-kotlin-beginners, (packtpub.com) ,"['Paid', ' Book', ' Beginner', 'Docs']"
Exploring Kotlin Functional Programming,https://www.manning.com/books/exploring-kotlin-functional-programming?a_aid=hackrio, (manning.com) ,"['Free', ' Book', ' Beginner', 'Functional Programming', 'Docs']"
Kotlin Programming Language,https://www.geeksforgeeks.org/kotlin-programming-language, (geeksforgeeks.org) ,"['Free', ' Beginner', 'Docs']"
Taking Advantage of Kotlin,https://codelabs.developers.google.com/codelabs/taking-advantage-of-kotlin/index.html, (codelabs.developers.google.com) ,"['Free', ' Advanced', 'Docs']"
Kotlin for Android O Development,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/kotlinandroid/, (udemy.com) ,"['Paid', ' Video', 'Docs']"
Kotlin Beginner Tutorials,https://www.youtube.com/playlist?list=PLpg00ti3ApRweIhdOI4VCFFStx4uXC__u, (youtube.com) ,"['Free', ' Video', ' Beginner', 'Docs']"
Kotlin Tutorial | TutorialKart,https://www.tutorialkart.com/kotlin-tutorial, (tutorialkart.com) ,"['Free', ' Beginner', 'Docs']"
Kotlin Course - Tutorial for Beginners | FreeCodeCamp,https://www.youtube.com/watch?v=F9UC9DY-vIU, (youtube.com) ,"['Free', ' Video', ' Advanced', 'Docs']"
Functional Programming in Kotlin,https://www.manning.com/books/functional-programming-in-kotlin?a_aid=hackrio, (manning.com) ,"['Paid', ' Book', ' Beginner', 'Docs']"
Building Spring Boot Applications with the Kotlin Programming Language,https://www.manning.com/livevideo/building-spring-boot-applications-with-the-kotlin-programming-language?a_aid=hackrio, (manning.com) ,"['Paid', ' Video', ' Beginner', 'Spring Boot 2', 'Docs']"
Kotlin for Android & Java Developers,https://www.manning.com/livevideo/kotlin-for-android-and-java-developers?a_aid=hackrio, (manning.com) ,"['Paid', ' Video', ' Beginner', 'Docs']"
Developing Android Apps with Kotlin,https://www.anrdoezrs.net/links/8752481/type/dlg/https://udacity.com/course/developing-android-apps-with-kotlin--ud9012, (udacity.com) ,"['Free', ' Beginner', 'Android Development', 'Docs']"
Kotlin Tutorial for a Beginner: Learn How to Make an Android App,https://stude.co/405151/kotlin-tutorial, (stude.co) ,"['Video', ' Beginner', ' Paid']"
Introduction to Kotlin Programming,http://shop.oreilly.com/product/0636920052982.do, (shop.oreilly.com) ,"['Paid', ' Video', ' Beginner', 'Docs']"
Advanced Kotlin Programming | Oreilly,http://shop.oreilly.com/product/0636920052999.do, (shop.oreilly.com) ,"['Paid', ' Video', ' Advanced', 'Docs']"
Introduction To Kotlin,https://www.safaribooksonline.com/library/view/introduction-to-kotlin/9781491964125, (safaribooksonline.com) ,"['Paid', ' Video', ' Beginner', 'Docs']"
