courses,course_links,websiteNames,course_tags
The Complete Ruby on Rails Developer Course,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/the-complete-ruby-on-rails-developer-course/, (udemy.com) ,"['Paid', ' Video', ' Beginner', 'Docs']"
Learn Web Development with Rails by Michael Hartl,https://www.railstutorial.org/book, (railstutorial.org) ,"['Paid', ' Book', 'Docs']"
RailsCasts,http://railscasts.com/, (railscasts.com) ,"['Free', ' Video', 'Docs']"
Build Your Own Meal Kit Delivery Web App,https://plantoost.com/courses/build-a-meal-kit-delivery-web-app-ruby-on-rails-stripe, (plantoost.com) ,"['Paid', ' Video', ' Beginner', 'Docs']"
Ruby on Rails Guides - Official,http://guides.rubyonrails.org/, (guides.rubyonrails.org) ,"['Free', 'Docs']"
Ruby on Rails Course,https://www.theodinproject.com/courses/ruby-on-rails, (theodinproject.com) ,"['Free', 'Docs']"
Learn Ruby On Rails by Building an Education Platform,https://plantoost.com/courses/learn-how-to-build-an-advanced-online-education-platform, (plantoost.com) ,"['Paid', ' Advanced', 'Docs']"
The Professional Ruby on Rails Developer,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/pro-rubyonrails/, (udemy.com) ,"['Paid', ' Video', 'Docs']"
Ruby on Rails Web Development Specialization,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=40328&murl=https://www.coursera.org/specializations/ruby-on-rails, (coursera.org) ,"['Free', ' Video', ' Beginner', 'Docs']"
Ruby on Rails Tutorial (Rails 5),https://www.railstutorial.org/book/frontmatter, (railstutorial.org) ,"['Free', ' Book', 'Docs']"
Ruby on Rails: An Introduction,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=40328&murl=https://www.coursera.org/learn/ruby-on-rails-intro, (coursera.org) ,"['Free', ' Video', 'Docs']"
Agile Web Development with Rails 5.1,https://pragprog.com/book/rails51/agile-web-development-with-rails-5-1, (pragprog.com) ,"['Paid', ' Book', ' Beginner', 'Ruby on Rails 5.x', 'Docs']"
Rails Girls Guides,http://guides.railsgirls.com/, (guides.railsgirls.com) ,"['Free', 'Docs']"
Learn Ruby on Rails for Beginners from Scratch,https://www.eduonix.com/courses/Web-Development/Learn-Ruby-on-Rails-for-Beginners-from-Scratch, (eduonix.com) ,"['Free', ' Beginner', ' Video', 'Docs']"
Ruby on Rails 4.0 Lectures,https://www.youtube.com/playlist?list=PLSXDqiI4sC5PsASjJy7dBncALnhjud2fx, (youtube.com) ,"['Free', ' Video', 'Docs']"
People Can Code,http://www.peoplecancode.com/en/paths#ror_path, (peoplecancode.com) ,"['Free', 'Docs']"
Build a Simple Ruby on Rails Application,http://treehouse.7eer.net/c/383034/228915/3944?u=http://teamtreehouse.com/library/build-a-simple-ruby-on-rails-application, (teamtreehouse.com) ,"['Free', ' Video', 'Docs']"
Learn Ruby on Rails | CoderJourney,https://www.youtube.com/playlist?list=PLbG4OyfwIxjET3AotYb3eBAX9-oNqawP-, (youtube.com) ,"['Free', ' Video', ' Beginner', 'Docs']"
Demystifying Rails,https://launchschool.com/books/demystifying_rails, (launchschool.com) ,"['Free', ' Book', ' Beginner', 'Ruby on Rails 4.x', 'Docs']"
Learn Ruby on Rails 5,http://learn-rails.com/learn-ruby-on-rails.html, (learn-rails.com) ,"['Book', ' Beginner', ' Paid', 'Ruby on Rails 5.x']"
Ruby on Rails (Rails 5),http://railstutorial.org, (railstutorial.org) ,"['Paid', ' Book', 'Docs']"
Ruby on Rails Course | OnlineItGuru,https://onlineitguru.com/ruby-on-rails-online-training-placement.html, (onlineitguru.com) ,"['Beginner', ' Paid', 'Docs']"
Hello Rails,https://hellorails.io/, (hellorails.io) ,"['Paid', ' Book', ' Beginner', 'Docs']"
Ruby on Rails for Web Development,https://www.goskills.com/Course/Ruby-Rails-Web-Development, (goskills.com) ,"['Paid', ' Video', ' Beginner', 'Docs']"
Start Building Your SaaS App in Rails Today,https://buildasaasappinrails.com, (buildasaasappinrails.com) ,"['Paid', ' Book', ' Advanced', 'Docs']"
Build Airbnb with Ruby on Rails,https://code4startup.com/airbnb2, (code4startup.com) ,"['Paid', ' Video', ' Beginner', 'Docs']"
Learn Ruby on Rails | Updatey,https://updatey.com/media/uploads/projects/posts/files/jmif3s8lar4uaf67j2ni.pdf, (updatey.com) ,"['Free', ' Book', ' Beginner', 'Docs']"
One Month Rails,https://onemonth.com/courses/rails, (onemonth.com) ,"['Paid', ' Video', ' Beginner', 'Docs']"
Learn Ruby on Rails: The Beginner-Friendly Approach to Ruby on Rails,https://www.bitdegree.org/course/learn-ruby-on-rails, (bitdegree.org) ,"['Free', ' Video', ' Beginner', 'Docs']"
Using Elasticsearch in a Rails Application,https://iridakos.com/tutorials/2017/12/03/elasticsearch-and-rails-tutorial, (iridakos.com) ,"['Free', ' Beginner', 'Docs']"
Getting Started With Ruby on Rails,https://www.codeschool.com/learn/ruby, (codeschool.com) ,"['Paid', 'Docs']"
8 Ruby on Rails Apps in 30 Days,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/8-beautiful-ruby-on-rails-apps-in-30-days/, (udemy.com) ,"['Paid', ' Video', ' Exercises/Practice-programs', 'Docs']"
Agile Development Using Ruby on Rails - The Basics,http://www.awin1.com/cread.php?awinmid=6798&awinaffid=428263&p=https://www.edx.org/course/engineering-software-service-uc-berkeleyx-cs169-1x, (edx.org) ,"['Free', ' Video', 'Docs']"
Training for Ruby on Rails Developers,https://gorails.com/, (gorails.com) ,"['Paid', 'Docs']"
Learn Ruby on Rails as You Modify a Craigslist Clone,http://www.thinkful.com/learn/ruby-on-rails-tutorial/, (thinkful.com) ,"['Free', 'Docs']"
