courses,course_links,websiteNames,course_tags
Learn to Code with Ruby,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/learn-to-code-with-ruby-lang/, (udemy.com) ,"['Paid', ' Video', ' Beginner', 'Docs']"
Ruby Fundamentals | Pluralsight,https://www.pluralsight.com/courses/ruby-fundamentals, (pluralsight.com) ,"['Free', ' Video', ' Beginner', 'Docs']"
Learn Ruby the Hard Way,https://learnrubythehardway.org/book/, (learnrubythehardway.org) ,"['Free', ' Book', 'Docs']"
RubyKin - Teach kids to code,http://mrdougwright.gitbooks.io/rubykin/content/, (mrdougwright.gitbooks.io) ,"['Free', 'Docs']"
Why’s (Poignant) Guide to Ruby,http://mislav.uniqpath.com/poignant-guide/book/, (mislav.uniqpath.com) ,"['Free', 'Docs']"
Learn Ruby from Codecademy,https://www.pjatr.com/t/TUJGR0lLR0JHRklKSkdCR0ZISk1N?url=https://www.codecademy.com/learn/learn-ruby, (codecademy.com) ,"['Beginner', ' Exercises/Practice-programs', ' Paid', 'Docs']"
"The Well-Grounded Rubyist, Second Edition",https://geni.us/hzzBx51, (amazon) ,"['Paid', ' Book', 'Docs']"
Programming Ruby,http://ruby-doc.com/docs/ProgrammingRuby/, (ruby-doc.com) ,"['Free', 'Docs']"
Ruby Tutorial,https://www.cosmiclearn.com/ruby, (cosmiclearn.com) ,"['Free', ' Beginner', 'Docs']"
Ruby Programming Tutorials | Jake Day Williams,https://www.youtube.com/playlist?list=PLMK2xMz5H5Zv8eC8b4K6tMaE1-Z9FgSOp, (youtube.com) ,"['Free', ' Video', ' Beginner', 'Docs']"
"Rubyfu, Where Ruby Goes Evil (useful for hackers)",https://www.gitbook.com/book/rubyfu/rubyfu/details, (gitbook.com) ,"['Free', ' Book', ' Advanced', 'Docs']"
Comprehensive Ruby Programming,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/comprehensive-ruby-programming-tutorial/, (udemy.com) ,"['Paid', ' Video', 'Docs']"
Core Ruby Programming,http://rubylearning.com/satishtalim/tutorial.html, (rubylearning.com) ,"['Free', 'Docs']"
Ruby in Twenty Minutes,https://www.ruby-lang.org/en/documentation/quickstart/, (ruby-lang.org) ,"['Free', 'Docs']"
Learn X in Y minutes Where X=ruby,https://learnxinyminutes.com/docs/ruby, (learnxinyminutes.com) ,"['Free', ' Beginner', 'Docs']"
I Love Ruby,https://i-love-ruby.gitlab.io, (i-love-ruby.gitlab.io) ,"['Free', ' Book', ' Advanced', 'Docs']"
Ruby Programming,https://www.theodinproject.com/courses/ruby-programming, (theodinproject.com) ,"['Free', ' Beginner', 'RSpec', 'Docs']"
RubyTapas,http://www.rubytapas.com, (rubytapas.com) ,"['Free', ' Video', 'Docs']"
Ruby Programming Tutorials,https://www.youtube.com/playlist?list=PL1512BD72E7C9FFCA, (youtube.com) ,"['Free', ' Video', 'Docs']"
Ruby Programming Guide,https://guides.peruzal.com/ruby-guide, (guides.peruzal.com) ,"['Free', ' Book', 'Docs']"
"The Well-Grounded Rubyist, Third Edition",https://www.manning.com/books/the-well-grounded-rubyist-third-edition?a_aid=hackrio, (manning.com) ,"['Paid', ' Book', ' Beginner', 'Docs']"
Introduction to Ruby,https://next.tech/xyz/introduction-to-ruby, (next.tech) ,"['Beginner', ' Free', 'Docs']"
Introduction to Programming with Ruby,https://launchschool.com/books/ruby, (launchschool.com) ,"['Free', ' Book', ' Beginner', 'Docs']"
Object Oriented Programming with Ruby,https://launchschool.com/books/oo_ruby, (launchschool.com) ,"['Free', ' Book', ' Beginner', 'Docs']"
Ruby - Programming Language | Tutorial,https://www.youtube.com/playlist?list=PLLAZ4kZ9dFpO90iMas70Tt4_wYjhLGkya, (youtube.com) ,"['Free', ' Video', ' Beginner', 'Docs']"
Ruby Introduction,https://www.codesdope.com/ruby-introduction, (codesdope.com) ,"['Free', ' Beginner', 'Docs']"
One Month Ruby,https://onemonth.com/courses/ruby, (onemonth.com) ,"['Paid', ' Video', ' Beginner', 'Docs']"
Ruby Wizardry: An Introduction to Programming for Kids,https://www.nostarch.com/rubywizardry, (nostarch.com) ,"['Paid', ' Book', ' Beginner', 'Docs']"
Intro to Ruby,https://flatironschool.com/programs/online-intro-ruby-free-course/, (flatironschool.com) ,"['Free', ' Beginner', 'Docs']"
