courses,course_links,websiteNames,course_tags
Learn SQL Nanodegree,https://imp.i115008.net/dxok2, (udacity.com) ,"['Paid', ' Video', ' Beginner', 'SQL', 'Docs']"
Introduction to SQL | Pluralsight,https://pluralsight.pxf.io/3MjPn, (pluralsight.com) ,"['Paid', ' Video', 'Docs']"
SQLBolt,http://sqlbolt.com/, (sqlbolt.com) ,"['Free', 'Docs']"
The Complete SQL Bootcamp,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/the-complete-sql-bootcamp/, (udemy.com) ,"['Paid', ' Video', ' Beginner', 'Docs']"
A beginners guide to thinking in SQL,http://www.sohamkamani.com/blog/2016/07/07/a-beginners-guide-to-sql/, (sohamkamani.com) ,"['Free', 'Docs']"
Learn SQL from Scratch,https://www.pjatr.com/t/TUJGR0lLR0JHRklKSkdCR0ZISk1N?url=https://www.codecademy.com/pro/intensive/learn-sql-from-scratch, (codecademy.com) ,"['Beginner', ' Exercises/Practice-programs', ' Paid', 'Docs']"
SQL basics by Khan Academy,https://www.khanacademy.org/computing/computer-programming/sql/sql-basics, (khanacademy.org) ,"['Free', ' Video', 'Docs']"
SQL Essential Training,https://linkedin-learning.pxf.io/EjJOK, (linkedin.com) ,"['Paid', ' Beginner', 'Docs']"
The SQL Tutorial for Data Analysis,https://community.modeanalytics.com/sql/tutorial/introduction-to-sql, (community.modeanalytics.com) ,"['Free', ' Beginner', 'Docs']"
SQL for Newbies: Data Analysis for Beginners,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/sql-for-newbs/, (udemy.com) ,"['Paid', ' Video', ' Beginner', 'Docs']"
The Complete MySQL Bootcamp: From SQL Beginner to Expert,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/course/the-complete-mysql-bootcamp-from-sql-beginner-to-expert, (udemy.com) ,"['Paid', ' Video', ' Beginner', 'Docs']"
Head First SQL,https://www.amazon.com/Head-First-SQL-Brain-Learners/dp/0596526849/?tag=hackr-20, (amazon.com) ,"['Beginner', ' Exercises/Practice-programs', ' Paid', ' Book', 'Docs']"
SQL in Motion,https://www.manning.com/livevideo/sql-in-motion?a_aid=hackrio, (manning.com) ,"['Paid', ' Video', ' Beginner', 'Docs']"
SQL - Full Course for Beginners,https://www.youtube.com/watch?v=HXV3zeQKqGY&t=12839s, (youtube.com) ,"['Free', ' Video', ' Beginner', 'Docs']"
SQL & PostgreSQL for Beginners,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/course/sql-and-postgresql-for-beginners/, (udemy.com) ,"['Paid', ' Video', ' Beginner', 'PostgreSQL', 'Docs']"
SQL for Data Science,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=40328&murl=https://www.coursera.org/learn/sql-for-data-science, (coursera.org) ,"['Paid', ' Video', ' Beginner', 'Data Science', 'Docs']"
Learn SQL the Hard Way,https://learncodethehardway.org/sql/, (learncodethehardway.org) ,"['Paid', ' Book', 'Docs']"
Intro to SQL for Data Science,https://www.datacamp.com/courses/intro-to-sql-for-data-science, (datacamp.com) ,"['Free', ' Advanced', ' Exercises/Practice-programs', 'Docs']"
A Visual Explanation of SQL Joins,http://blog.codinghorror.com/a-visual-explanation-of-sql-joins/, (blog.codinghorror.com) ,"['Free', 'Docs']"
Learning SQL Programming,https://www.linkedin.com/learning/learning-sql-programming/welcome, (linkedin.com) ,"['Free', ' Video', ' Beginner', 'Docs']"
CMU's Advanced Database Systems,https://www.youtube.com/playlist?list=PLSE8ODhjZXjasmrEd2_Yi1deeE360zv5O, (youtube.com) ,"['Free', ' Video', ' Advanced', 'Docs']"
CMU's Intro to Database Systems,https://www.youtube.com/playlist?list=PLSE8ODhjZXjbohkNBWQs_otTrBTrjyohi, (youtube.com) ,"['Free', ' Video', ' Beginner', 'Docs']"
SQL Tutorial - Full Database Course for Beginners,https://www.youtube.com/watch?v=HXV3zeQKqGY, (youtube.com) ,"['Free', ' Beginner', ' Video', 'Docs']"
SQL - Introduction,https://www.alphacodingskills.com/sql/sql-introduction.php, (alphacodingskills.com) ,"['Free', ' Beginner', 'Docs']"
SQL Tutorial for MS SQL| Intellipaat,https://www.youtube.com/watch?v=JTDK6r1GuUU, (youtube.com) ,"['Free', ' Beginner', ' Video', 'MS SQL Server', 'Docs']"
Mastery With SQL,https://www.masterywithsql.com, (masterywithsql.com) ,"['Beginner', ' Paid', ' Video', 'Docs']"
PL/SQL Tutorial | Oracle Tutorial,http://www.oracletutorial.com/plsql-tutorial, (oracletutorial.com) ,"['Free', ' Beginner', 'PL/SQL', 'Docs']"
Introduction to SQL,https://launchschool.com/books/sql, (launchschool.com) ,"['Free', ' Book', ' Beginner', 'Docs']"
SQL - Database Programming | Tutorial,https://www.youtube.com/playlist?list=PLLAZ4kZ9dFpMGXTKXsBM_ZNpJwowfsP49, (youtube.com) ,"['Free', ' Video', ' Beginner', 'Docs']"
Learn SQL Basics,https://docs.data.world/documentation/sql/concepts/basic/intro.html, (docs.data.world) ,"['Free', ' Beginner', 'Docs']"
Learn SQL | Bitdegree,https://www.bitdegree.org/learn/learn-sql, (bitdegree.org) ,"['Free', ' Beginner', 'Docs']"
Introduction to Oracle SQL Course,https://www.databasestar.com/introduction-oracle-sql-course/, (databasestar.com) ,"['Free', ' Beginner', 'Docs']"
Learn SQL,https://www.pjatr.com/t/TUJGR0lLR0JHRklKSkdCR0ZISk1N?url=https://www.codecademy.com/learn/learn-sql, (codecademy.com) ,"['Paid', ' Beginner', ' Exercises/Practice-programs', 'Docs']"
SQL Mini-Course,https://lagunita.stanford.edu/courses/DB/SQL/SelfPaced/about, (lagunita.stanford.edu) ,"['Free', 'Docs']"
The Art of Sql,https://www.amazon.com/Art-SQL-Stephane-Faroult/dp/0596008945?tag=hackr-20, (amazon.com) ,"['Paid', ' Book', ' Advanced', 'Docs']"
Beginner SQL Tutorial: Learn SQL Basics While Analyzing Bike-Sharing,https://www.dataquest.io/blog/sql-basics, (dataquest.io) ,"['Free', ' Beginner', 'Docs']"
SQL QuickStart Course,https://campus.clydebankmedia.com/courses/sql-quickstart-course, (campus.clydebankmedia.com) ,"['Paid', ' Beginner', 'Docs']"
SQL QuickStart Guide,https://www.clydebankmedia.com/books/programming-tech/sql-quickstart-guide, (clydebankmedia.com) ,"['Paid', ' Beginner', ' Book', 'Docs']"
SQL Tutorial For Beginners | Intellipaat,https://www.youtube.com/watch?v=wkOD6mbXc2M, (youtube.com) ,"['Free', ' Beginner', 'Docs']"
Select Star SQL,https://selectstarsql.com, (selectstarsql.com) ,"['Free', ' Beginner', ' Book', 'Docs']"
SQL Tutorial | TutorialRepublic,https://www.tutorialrepublic.com/sql-tutorial, (tutorialrepublic.com) ,"['Free', ' Beginner', 'Docs']"
Introduction to SQL (Computer Science),https://www.youtube.com/playlist?list=PLi01XoE8jYojRqM4qGBF1U90Ee1Ecb5tt, (youtube.com) ,"['Free', ' Video', ' Beginner', 'Docs']"
PL/SQL Online Training | Onlineitguru,https://onlineitguru.com/sql-certification-course.html, (onlineitguru.com) ,"['Paid', ' Beginner', 'PL SQL', 'Docs']"
SQL Tutorial 2019 | Derek Banas,https://www.youtube.com/watch?v=XqIk2PwP0To, (youtube.com) ,"['Free', ' Beginner', 'Docs']"
SQL Tutorial by Mode,https://mode.com/sql-tutorial/, (mode.com) ,"['Free', ' Beginner', 'Docs']"
Introduction to SQL | Go Skills,https://www.goskills.com/Course/Intro-SQL, (goskills.com) ,"['Paid', ' Video', ' Beginner', 'Docs']"
SQL Tutorial – Learn SQL Programming Online from Experts,https://intellipaat.com/tutorial/sql-tutorial, (intellipaat.com) ,"['Free', ' Beginner', 'Docs']"
SQL Basics,https://academy.vertabelo.com/course/sql-queries, (academy.vertabelo.com) ,"['Paid', ' Beginner', 'Docs']"
Database Fundamentals,https://next.tech/xyz/database-fundamentals, (next.tech) ,"['Beginner', ' Free', 'Docs']"
SQL Tutorial | W3 Schools,https://www.w3schools.com/sql, (w3schools.com) ,"['Free', ' Beginner', 'Docs']"
PL/SQL Tutorial,http://www.plsqltutorial.com, (plsqltutorial.com) ,"['Free', ' Beginner', 'PL/SQL', 'Docs']"
Oracle PL/SQL Tutorial for Beginners,https://www.guru99.com/pl-sql-tutorials.html, (guru99.com) ,"['Free', ' Beginner', 'PL/SQL', 'Docs']"
Business and Data Analysis with SQL,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/business-and-data-analysis-with-sql, (udemy.com) ,"['Paid', ' Beginner', 'Docs']"
SQL Programming,https://www.software-skills-training.com/Courses/sql-programming.htm, (software-skills-training.com) ,"['Paid', ' Beginner', 'Docs']"
SQL for Data Analysis – Tutorial for Beginners,https://data36.com/sql-for-data-analysis-tutorial-beginners/, (data36.com) ,"['Free', ' Beginner', 'Data Science', 'Docs']"
SQL Tutorial,https://www.geeksforgeeks.org/sql-tutorial/, (geeksforgeeks.org) ,"['Free', ' Advanced', 'Docs']"
SQL for Web Nerds,http://philip.greenspun.com/sql/, (philip.greenspun.com) ,"['Free', 'Docs']"
SQL for Beginners,https://www.youtube.com/watch?v=7Vtl2WggqOg, (youtube.com) ,"['Free', ' Video', 'Docs']"
SQL Teaching,http://www.sqlteaching.com/, (sqlteaching.com) ,"['Free', 'Docs']"
Complete SQL and Databases Bootcamp,https://academy.zerotomastery.io/p/complete-sql-database-bootcamp-zero-to-mastery, (academy.zerotomastery.io) ,"['Paid', ' Video', ' Beginner', 'SQL', 'Docs']"
