courses,course_links,websiteNames,course_tags
Complete C# Unity Developer 2D - Learn to Code by Making 2D Games,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/unitycourse/, (udemy.com) ,"['Paid', ' Video', ' Beginner', 'Unity 5 Unity 2D', 'Docs']"
Nerdlevels | Build Video Games Like the Pros,https://www.nerdlevels.com, (nerdlevels.com) ,"['Paid', ' Video', ' Beginner', 'Unity 2D C#', 'Docs']"
Make a Game - Unity Course,https://www.youtube.com/playlist?list=PLPV2KyIb3jR4u6zeBY77WPj0KuFdmv84g, (youtube.com) ,"['Free', ' Video', 'Docs']"
Unity Tutorials,https://learn.unity.com/tutorials, (learn.unity.com) ,"['Free', ' Video', 'Docs']"
How to make a 2D Game,https://www.youtube.com/playlist?list=PLPV2KyIb3jR6TFcFuzI2bB7TMNIIBpKMQ, (youtube.com) ,"['Free', ' Video', ' Beginner', 'Unity 2D', 'Docs']"
Complete C# Unity Developer 3D - Learn to Code Making Games,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/unitycourse2/, (udemy.com) ,"['Paid', ' Video', ' Beginner', 'Unity 3D', 'Docs']"
Unity Tutorials | Noobtuts,https://noobtuts.com/unity, (noobtuts.com) ,"['Free', 'Docs']"
Survival Game Tutorials in Unity 5,https://www.youtube.com/playlist?list=PLb34wPRpZdVevgA60IIJ5pQi4RCR264FU, (youtube.com) ,"['Free', ' Video', ' Beginner', 'Unity 5 Unity 2D', 'Docs']"
Game Academy Courses: Beginner Guide to Game Development with Unity,https://www.bitdegree.org/course/game-academy, (bitdegree.org) ,"['Free', ' Video', ' Beginner', 'Docs']"
Become a Game Developer/Designer : Complete Master Series,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/become-a-game-designer/, (udemy.com) ,"['Paid', ' Video', ' Beginner', 'Docs']"
Introduction to Game Development (Unity and C#),https://www.youtube.com/playlist?list=PLFt_AvWsXl0fnA91TcmkRyhhixX9CO3Lw, (youtube.com) ,"['Free', ' Video', 'Docs']"
Create with Code | Unity,https://learn.unity.com/course/create-with-code, (learn.unity.com) ,"['Free', ' Video', ' Beginner', 'Unity 3D', 'Docs']"
C# scripting for Unity,http://catlikecoding.com/, (catlikecoding.com) ,"['Free', 'Docs']"
How to make a Video Game,https://www.youtube.com/playlist?list=PLPV2KyIb3jR53Jce9hP7G5xC4O9AgnOuL, (youtube.com) ,"['Free', ' Video', ' Beginner', 'Unity 3D', 'Docs']"
