course_name,course_link,course_source,course_tags
The Complete Sketch 5 Course,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/course/sketchdesign/, (udemy.com) ,"['Paid', ' Video', ' Advanced', 'Sketch 5', 'Docs']"
Sketch 3 Tutorials,https://www.youtube.com/playlist?list=PLLnpHn493BHE6UIsdKYlS5zu-ZYvx22CS, (youtube.com) ,"['Free', ' Video', 'Sketch 3', 'Docs']"
Sketch 101,https://trydesignlab.com/sketch-101-course, (trydesignlab.com) ,"['Free', ' Beginner', 'Docs']"
Getting Started With Sketch,https://www.switchtosketchapp.com, (switchtosketchapp.com) ,"['Free', ' Beginner', ' Video', 'Sketch 3', 'Docs']"
SketchCasts,https://www.sketchcasts.net/episodes/latest, (sketchcasts.net) ,"['Free', ' Video', 'Docs']"
Mastering Mobile App Design With Sketch 3,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/sketch-design/, (udemy.com) ,"['Paid', ' Video', ' Beginner', 'Sketch 3', 'Docs']"
Sketch App Course,https://learnux.io/course/sketch, (learnux.io) ,"['Paid', ' Video', ' Beginner', 'Docs']"
Sketch Tutorials,http://sketchmaster.com/, (sketchmaster.com) ,"['Paid', ' Video', ' Beginner', 'Docs']"
Mobile App Design In Sketch 3: UX and UI Design From Scratch,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/the-complete-design-course/, (udemy.com) ,"['Paid', ' Video', ' Beginner', 'Sketch 3', 'Docs']"
Sketch 3 from A to Z: Become an App Designer,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/learnsketch3/, (udemy.com) ,"['Paid', ' Video', ' Beginner', 'Sketch 3', 'Docs']"
