courses,course_links,websiteNames,course_tags
Mathematical Biostatistics Boot Camp 2,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=40328&murl=https://www.coursera.org/learn/biostatistics-2, (coursera.org) ,"['Paid', ' Video', ' Advanced', 'Math for Data Science', 'Statistics for Data Science', 'Docs']"
CS109 Data Science,http://cs109.github.io/2015/, (cs109.github.io) ,"['Free', ' Video', 'Docs']"
Introduction to Data Science in Python,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=40328&murl=https://www.coursera.org/specializations/data-science-python, (coursera.org) ,"['Free', ' Video', 'Python', 'Docs']"
IBM Data Science Professional Certificate,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=40328&murl=https://www.coursera.org/professional-certificates/ibm-data-science, (coursera.org) ,"['Paid', ' Video', ' Beginner', 'Python', 'Docs']"
Data Science A-Z,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/datascience/, (udemy.com) ,"['Paid', ' Video', 'Docs']"
Intro to Data Science,https://www.anrdoezrs.net/links/8752481/type/dlg/https://www.udacity.com/course/intro-to-data-science--ud359, (udacity.com) ,"['Free', ' Beginner', ' Video', 'Docs']"
Data Science Specialization,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=40328&murl=https://www.coursera.org/specializations/jhu-data-science, (coursera.org) ,"['Paid', ' Beginner', 'Docs']"
Python Data Science Handbook,https://jakevdp.github.io/PythonDataScienceHandbook/, (jakevdp.github.io) ,"['Free', ' Book', 'Docs']"
Exploring the Data Jungle,https://www.manning.com/books/exploring-the-data-jungle?a_aid=hackrio, (manning.com) ,"['Free', ' Book', ' Beginner', 'Docs']"
Data Analyst Nanodegree,https://www.anrdoezrs.net/links/8752481/type/dlg/https://www.udacity.com/course/data-analyst-nanodegree--nd002, (udacity.com) ,"['Paid', 'Docs']"
Exploring Data with Python,https://www.manning.com/books/exploring-data-with-python?a_aid=hackrio, (manning.com) ,"['Free', ' Book', ' Beginner', 'Python', 'Docs']"
Tableau Training for Beginners Session -1,https://www.youtube.com/watch?v=tokjknQWJ4o, (youtube.com) ,"['Free', ' Video', ' Beginner', 'Tableau', 'Docs']"
Data Science Learning Path from Codecademy,https://www.pjatr.com/t/TUJGR0lLR0JHRklKSkdCR0ZISk1N?url=https://www.codecademy.com/learn/paths/data-science, (codecademy.com) ,"['Beginner', ' Exercises/Practice-programs', ' Paid', 'Docs']"
Python and Statistics for Financial Analysis,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=40328&murl=https://www.coursera.org/learn/python-statistics-financial-analysis, (coursera.org) ,"['Paid', ' Video', ' Beginner', 'Statistics for Data Science', 'Docs']"
Data Science Bookcamp,https://www.manning.com/books/data-science-bookcamp?a_aid=hackrio, (manning.com) ,"['Paid', ' Book', ' Beginner', 'Docs']"
Data Science Bootcamp,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=43438&murl=https://www.springboard.com/workshops/data-science-career-track, (springboard.com) ,"['Paid', ' Advanced', 'Python Machine Learning Statistics for Data Science', 'Docs']"
Data Science Training,https://www.mytectra.com/data-science-training-in-bangalore.html, (mytectra.com) ,"['Free', ' Advanced', 'Docs']"
Introduction to Statistics: Descriptive Statistics,http://www.awin1.com/cread.php?awinmid=6798&awinaffid=428263&p=https://www.edx.org/course/introduction-statistics-descriptive-uc-berkeleyx-stat2-1x, (edx.org) ,"['Free', ' Video', ' Beginner', 'Statistics for Data Science', 'Docs']"
Learning Python for Data Analysis and Visualization,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/learning-python-for-data-analysis-and-visualization/, (udemy.com) ,"['Paid', ' Video', 'Python', 'Docs']"
Programming for Data Science with Python,https://imp.i115008.net/m69V1, (udacity.com) ,"['Paid', ' Video', ' Beginner', 'Python', 'Docs']"
Programming for Data Science with R,https://imp.i115008.net/EkaOD, (udacity.com) ,"['Paid', ' Video', ' Beginner', 'R', 'Docs']"
Practical Data Science with MATLAB Specialization,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=40328&murl=https://www.coursera.org/specializations/practical-data-science-matlab, (coursera.org) ,"['Paid', ' Video', 'MATLAB', 'Docs']"
Tableau Tutorial for Beginners,https://www.tutorialandexample.com/tableau-tutorial, (tutorialandexample.com) ,"['Free', ' Beginner', 'Tableau', 'Docs']"
"Algorithms of the Intelligent Web, Second Edition",https://www.manning.com/books/algorithms-of-the-intelligent-web-second-edition?a_aid=hackrio, (manning.com) ,"['Paid', ' Book', ' Beginner', 'Docs']"
