courses,course_links,websiteNames,course_tags
Deep Learning A-Z: Hands-On Artificial Neural Networks,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/course/deeplearning/, (udemy.com) ,"['Free', ' Video', ' Beginner', 'NumPy', 'Docs']"
GUVI | Deep Learning,https://www.guvi.in/deep-learning, (guvi.in) ,"['Paid', ' Beginner', 'Docs']"
Deep Learning,http://www.deeplearningbook.org/, (deeplearningbook.org) ,"['Free', ' Book', 'Docs']"
Deep Learning Specialization,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=40328&murl=https://www.coursera.org/specializations/deep-learning, (coursera.org) ,"['Paid', ' Beginner', ' Video', 'Docs']"
Grokking Deep Learning in Motion,https://www.manning.com/livevideo/grokking-deep-learning-in-motion?a_aid=hackrio, (manning.com) ,"['Paid', ' Video', ' Beginner', 'Docs']"
Natural Language Processing with Deep Learning,https://www.youtube.com/playlist?list=PL3FW7Lu3i5Jsnh1rnUwq_TcylNr7EkRe6, (youtube.com) ,"['Free', ' Video', ' Advanced', 'NLP - Natural Language Processing', 'Docs']"
Deep Learning with Python | Manning,https://www.manning.com/books/deep-learning-with-python?a_aid=hackrio, (manning.com) ,"['Paid', ' Book', 'Python', 'Docs']"
Deep Learning and the Game of Go,https://www.manning.com/books/deep-learning-and-the-game-of-go?a_aid=hackrio, (manning.com) ,"['Paid', ' Book', 'Docs']"
Deep Learning with PyTorch,https://www.manning.com/books/deep-learning-with-pytorch?a_aid=hackrio, (manning.com) ,"['Paid', ' Book', ' Advanced', 'Python', 'Docs']"
Neural Networks and Deep Learning,http://neuralnetworksanddeeplearning.com, (neuralnetworksanddeeplearning.com) ,"['Free', ' Book', ' Beginner', 'Neural Networks', 'Docs']"
Deep Learning With Python,https://www.youtube.com/watch?v=fcD6YeEYKNg, (youtube.com) ,"['Free', ' Advanced', 'Python', 'Docs']"
Deep Learning Tutorial,https://www.simplilearn.com/deep-learning-tutorial, (simplilearn.com) ,"['Beginner', ' Free', 'Docs']"
Deep Learning with JavaScript,https://www.manning.com/books/deep-learning-with-javascript?a_aid=hackrio, (manning.com) ,"['Paid', ' Book', 'JavaScript', 'Docs']"
"Deep Learning basics with Python, TensorFlow and Keras",https://www.youtube.com/playlist?list=PLQVvvaa0QuDfhTox0AjmQ6tvTgMBZBEXN, (youtube.com) ,"['Free', ' Video', ' Beginner', 'Docs']"
Natural Language Processing with Deep Learning in Python,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/natural-language-processing-with-deep-learning-in-python, (udemy.com) ,"['Paid', ' Video', ' Advanced', 'NLP - Natural Language Processing', 'Docs']"
Deep Learning for Search,https://www.manning.com/books/deep-learning-for-search?a_aid=hackrio, (manning.com) ,"['Paid', ' Book', ' Beginner', 'Docs']"
Deep Learning with R in Motion,https://www.manning.com/livevideo/deep-learning-with-r-in-motion?a_aid=hackrio, (manning.com) ,"['Paid', ' Video', ' Advanced', 'R', 'Docs']"
Deep Learning with PyTorch,https://pytorch.org/tutorials/beginner/deep_learning_60min_blitz.html, (pytorch.org) ,"['Free', ' Beginner', ' Video', 'PyTorch', 'Docs']"
Math and Architectures of Deep Learning,https://www.manning.com/books/math-and-architectures-of-deep-learning?a_aid=hackrio, (manning.com) ,"['Paid', ' Book', ' Beginner', 'Docs']"
MIT Introduction to Deep Learning | 6.S191,https://www.youtube.com/playlist?list=PLtBw6njQRU-rwp5__7C0oIVt26ZgjG9NI, (youtube.com) ,"['Free', ' Video', ' Advanced', 'Docs']"
Deep Learning- Learn With Tensor Flow and Python,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/course/deep-learning-with-tensor-flow/, (udemy.com) ,"['Paid', ' Video', ' Advanced', 'Docs']"
Deep Learning with TensorFlow 2 and Keras - Second Edition,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=45060&murl=https://www.packtpub.com/data/deep-learning-with-tensorflow-2-0-and-keras-second-edition, (packtpub.com) ,"['Paid', ' Book', ' Advanced', 'TensorFlow Keras', 'Docs']"
Machine Learning and Deep Learning with Python,https://www.amazon.com/Python-Machine-Learning-scikit-learn-TensorFlow/dp/1789955750?tag=hackr-20, (amazon.com) ,"['Paid', ' Book', ' Beginner', 'TensorFlow', 'Docs']"
Deep Learning Full Course | Simplilearn,https://www.youtube.com/watch?v=ve-Tj7kUemg, (youtube.com) ,"['Free', ' Video', ' Beginner', 'Docs']"
Deep Learning with Structured Data,https://www.manning.com/books/deep-learning-with-structured-data?a_aid=hackrio, (manning.com) ,"['Paid', ' Book', ' Beginner', 'Docs']"
Introduction to Deep Learning | Experfy,https://www.experfy.com/training/courses/introduction-to-deep-learning-c44671e3-4243-46f2-9232-753e9b43993a, (experfy.com) ,"['Paid', ' Beginner', 'Docs']"
Deep Learning Tutorial For Beginners,https://www.youtube.com/watch?v=k7amFPAW0rQ, (youtube.com) ,"['Free', ' Video', ' Advanced', 'Docs']"
Probabilistic Deep Learning with Python,https://www.manning.com/books/probabilistic-deep-learning-with-python?a_aid=hackrio, (manning.com) ,"['Paid', ' Book', ' Advanced', 'Docs']"
Grokking Deep Learning,https://www.manning.com/books/grokking-deep-learning?a_aid=hackrio, (manning.com) ,"['Paid', ' Book', ' Beginner', 'Docs']"
Deep Learning for Natural Language Processing,https://www.manning.com/books/deep-learning-for-natural-language-processing?a_aid=hackrio, (manning.com) ,"['Paid', ' Book', ' Beginner', 'NLP - Natural Language Processing', 'Docs']"
Introduction to Deep Learning,https://www.experfy.com/training/courses/introduction-to-deep-learning, (experfy.com) ,"['Paid', ' Beginner', 'Docs']"
Hands-On Deep Learning Architectures with Python,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=45060&murl=https://www.packtpub.com/big-data-and-business-intelligence/hands-deep-learning-architectures-python, (packtpub.com) ,"['Paid', ' Book', ' Advanced', 'Docs']"
Natural Language Processing with Deep Learning - Stanford,https://www.youtube.com/playlist?list=PLoROMvodv4rOhcuXMZkNm7j3fVwBBY42z, (youtube.com) ,"['Free', ' Video', 'NLP - Natural Language Processing', 'Docs']"
The Deep Learning textbook,https://www.deeplearningbook.org/, (deeplearningbook.org) ,"['Free', ' Book', 'Docs']"
Deep Learning with R | Experfy,https://www.experfy.com/training/courses/deep-learning-with-r, (experfy.com) ,"['Paid', ' Advanced', 'R', 'Docs']"
Grokking Deep Learning for Computer Vision,https://www.manning.com/books/grokking-deep-learning-for-computer-vision?a_aid=hackrio, (manning.com) ,"['Paid', ' Book', ' Advanced', 'Docs']"
Deep Learning Crash Course,https://www.manning.com/livevideo/deep-learning-crash-course?a_aid=hackrio, (manning.com) ,"['Paid', ' Video', ' Advanced', 'Docs']"
Exploring Deep Learning for Language,https://www.manning.com/books/exploring-deep-learning-for-language?a_aid=hackrio, (manning.com) ,"['Free', ' Book', ' Beginner', 'NLP - Natural Language Processing', 'Docs']"
Deep Learning with R,https://www.manning.com/books/deep-learning-with-r?a_aid=hackrio, (manning.com) ,"['Paid', ' Book', ' Advanced', 'R', 'Docs']"
Neural Networks and Deep Learning | Coursera,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=40328&murl=https://www.coursera.org/learn/neural-networks-deep-learning, (coursera.org) ,"['Paid', ' Advanced', 'Neural Networks', 'Docs']"
Deep Learning 01 - Neural Networks,https://online.codingblocks.com/courses/deep-learning-neural-networks, (online.codingblocks.com) ,"['Paid', ' Video', ' Advanced', 'Neural Networks', 'Docs']"
Python Deep Learning for Beginners,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=45060&murl=https://www.packtpub.com/big-data-and-business-intelligence/python-deep-learning-beginners-video, (packtpub.com) ,"['Paid', ' Video', ' Beginner', 'Python', 'Docs']"
Deep Learning Prerequisites: The Numpy Stack in Python,https://deeplearningcourses.com/c/deep-learning-prerequisites-the-numpy-stack-in-python, (deeplearningcourses.com) ,"['Free', ' Beginner', 'NumPy', 'Docs']"
Deep Learning: GANs and Variational Auto-encoders,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/deep-learning-gans-and-variational-autoencoders, (udemy.com) ,"['Paid', ' Video', ' Advanced', 'Docs']"
Modern Deep Learning in Python,https://deeplearningcourses.com/c/data-science-deep-learning-in-theano-tensorflow, (deeplearningcourses.com) ,"['Paid', ' Video', ' Advanced', 'Docs']"
Deep Learning: Advanced Computer Vision,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/advanced-computer-vision/, (udemy.com) ,"['Paid', ' Video', ' Advanced', 'Computer Vision', 'Docs']"
Deep Learning: Advanced NLP and RNNs,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/deep-learning-advanced-nlp/, (udemy.com) ,"['Paid', ' Video', ' Advanced', 'NLP - Natural Language Processing', 'Docs']"
Deep Learning by Google,https://www.anrdoezrs.net/links/8752481/type/dlg/https://www.udacity.com/course/deep-learning--ud730, (udacity.com) ,"['Free', ' Video', ' Advanced', 'Docs']"
Practical Deep Learning For Coders,http://course.fast.ai/, (course.fast.ai) ,"['Free', ' Video', ' Advanced', 'Docs']"
Stanford Deep Learning Tutorial,http://deeplearning.stanford.edu/tutorial/, (deeplearning.stanford.edu) ,"['Free', 'Docs']"
