courses,course_links,websiteNames,course_tags
Intro to Machine Learning with TensorFlow,https://imp.i115008.net/VnyAj, (udacity.com) ,"['Paid', ' Video', ' Beginner', 'Docs']"
Get Started with TensorFlow,https://www.tensorflow.org/tutorials, (tensorflow.org) ,"['Free', ' Beginner', 'Docs']"
Complete Guide to TensorFlow for Deep Learning with Python,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/complete-guide-to-tensorflow-for-deep-learning-with-python/, (udemy.com) ,"['Paid', ' Video', ' Beginner', 'Python', 'Docs']"
Tensorflow Tutorial For Beginners,https://www.youtube.com/watch?v=t_DdvgY71NE, (youtube.com) ,"['Free', ' Video', ' Advanced', 'Docs']"
Introduction to TensorFlow,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=40328&murl=https://www.coursera.org/learn/introduction-tensorflow, (coursera.org) ,"['Free', ' Beginner', 'Docs']"
"Hands-On Machine Learning with scikit-learn and TensorFlow: Concepts, Tools, and Techniques to Build Intelligent Systems",https://geni.us/b5dLnb, (amazon) ,"['Paid', ' Book', 'scikit-learn', 'Docs']"
Intro to TensorFlow for Deep Learning,https://imp.i115008.net/k5jJV, (udacity.com) ,"['Free', ' Video', ' Beginner', 'Deep Learning', 'Docs']"
Machine Learning with TensorFlow,https://www.manning.com/books/machine-learning-with-tensorflow?a_aid=hackrio, (manning.com) ,"['Paid', ' Book', 'Docs']"
TensorFlow Deep Learning Projects,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=45060&murl=https://www.packtpub.com/big-data-and-business-intelligence/tensorflow-deep-learning-projects, (packtpub.com) ,"['Paid', ' Book', ' Advanced', 'Deep Learning', 'Docs']"
Getting Started With TensorFlow,https://www.tensorflow.org/get_started/get_started, (tensorflow.org) ,"['Free', ' Beginner', 'Docs']"
Hello TensorFlow,https://www.oreilly.com/learning/hello-tensorflow, (oreilly.com) ,"['Free', 'Docs']"
"Machine Learning with TensorFlow, Second Edition",https://www.manning.com/books/machine-learning-with-tensorflow-second-edition?a_aid=hackrio, (manning.com) ,"['Paid', ' Book', ' Beginner', 'Docs']"
TensorFlow Tutorial For Beginners | Simplilearn,https://www.youtube.com/watch?v=wMJQ04-AwNo, (youtube.com) ,"['Free', ' Video', ' Beginner', 'Docs']"
Tensorflow 2.0: Deep Learning and Artificial Intelligence,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/deep-learning-tensorflow-2, (udemy.com) ,"['Paid', ' Video', ' Advanced', 'Docs']"
TensorFlow-Course,https://github.com/machinelearningmindset/TensorFlow-Course, (github.com) ,"['Free', 'Docs']"
TensorFlow.js - Deep Learning in the Browser,https://www.youtube.com/playlist?list=PLQVvvaa0QuDcsopCRwbxxVZtJmHplV3uZ, (youtube.com) ,"['Free', ' Video', ' Beginner', 'Deep Learning', 'Docs']"
Natural Language Processing with TensorFlow,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=45060&murl=https://www.packtpub.com/application-development/natural-language-processing-tensorflow, (packtpub.com) ,"['Paid', ' Book', ' Beginner', 'NLP', 'Docs']"
Intro to Tensorflow,https://www.youtube.com/playlist?list=PL2-dafEMk2A7EEME489DsI468AB0wQsMV, (youtube.com) ,"['Free', ' Video', ' Beginner', 'Docs']"
Learning TensorFlow,https://learningtensorflow.com, (learningtensorflow.com) ,"['Free', ' Book', ' Beginner', 'Docs']"
