courses,course_links,websiteNames,course_tags
Apache Kafka Series - Learn Apache Kafka for Beginners v2,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/apache-kafka/, (udemy.com) ,"['Paid', ' Video', ' Beginner', 'Docs']"
Event Streams in Action,https://www.manning.com/books/event-streams-in-action?a_aid=hackrio, (manning.com) ,"['Paid', ' Book', ' Advanced', 'Docs']"
Getting Started with Apache Kafka,http://pluralsight.pxf.io/c/1419154/610247/7490, (pluralsight.com) ,"['Paid', ' Video', ' Beginner', 'Docs']"
Apache Kafka Official Documentation,http://kafka.apache.org/documentation.html#gettingStarted, (kafka.apache.org) ,"['Free', 'Docs']"
Kafka in Action,https://www.manning.com/books/kafka-in-action?a_aid=hackrio, (manning.com) ,"['Paid', ' Book', ' Beginner', 'Docs']"
Apache Kafka Series - Confluent Schema Registry & REST Proxy,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/confluent-schema-registry, (udemy.com) ,"['Paid', ' Video', ' Beginner', 'Docs']"
Apache Kafka Series - Kafka Cluster Setup & Administration,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/kafka-cluster-setup, (udemy.com) ,"['Paid', ' Video', ' Advanced', 'Docs']"
Apache Kafka Series - Kafka Streams for Data Processing,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/kafka-streams, (udemy.com) ,"['Paid', ' Video', ' Beginner', 'Docs']"
Kafka Tutorial | Intellipaat,https://www.youtube.com/watch?v=daRykH67_qs, (youtube.com) ,"['Free', ' Beginner', ' Video', 'Docs']"
Kafka Spark Streaming | Intellipaat,https://www.youtube.com/watch?v=DzMd9uCI8dk, (youtube.com) ,"['Free', ' Beginner', 'Docs']"
Kafka Training,https://intellipaat.com/kafka-training-online, (intellipaat.com) ,"['Free', ' Beginner', 'Docs']"
Say Hello World to event streaming.,https://kafka-tutorials.confluent.io, (kafka-tutorials.confluent.io) ,"['Free', ' Beginner', 'Docs']"
Kafka Streams in Action,https://www.manning.com/books/kafka-streams-in-action?a_aid=hackrio, (manning.com) ,"['Paid', ' Book', ' Beginner', 'Docs']"
Kafka By Example,https://apoclyps.github.io/kafka-by-example, (apoclyps.github.io) ,"['Free', ' Beginner', 'Docs']"
Apache Kafka Series - Kafka Connect Hands-on Learning,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/kafka-connect, (udemy.com) ,"['Paid', ' Video', ' Advanced', 'Docs']"
Apache Kafka Series - Kafka Security (SSL SASL Kerberos ACL),https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/apache-kafka-security, (udemy.com) ,"['Paid', ' Video', ' Advanced', 'Docs']"
Apache Kafka Series - Kafka Monitoring & Operations,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/kafka-monitoring-and-operations, (udemy.com) ,"['Paid', ' Video', ' Advanced', 'Docs']"
Apache Kafka for Beginners - Learn Kafka by Hands-On,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/apache-kafka-deep-dive-hands-on-using-javabuilt-in-scripts, (udemy.com) ,"['Paid', ' Video', ' Beginner', 'Docs']"
Apache Kafka Tutorials,https://www.youtube.com/playlist?list=PLkz1SCf5iB4enAR00Z46JwY9GGkaS2NON, (youtube.com) ,"['Free', ' Video', 'Docs']"
