courses,course_links,websiteNames,course_tags
Learn DevOps: The Complete Kubernetes Course,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/learn-devops-the-complete-kubernetes-course/, (udemy.com) ,"['Paid', ' Video', ' Beginner', 'Docs']"
Hands-On Kubernetes and Docker for Distributed Applications [Video],https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=45060&murl=https://www.packtpub.com/virtualization-and-cloud/hands-kubernetes-and-docker-distributed-applications-video, (packtpub.com) ,"['Paid', ' Video', 'Docker', 'Docs']"
Introduction to Kubernetes,http://www.awin1.com/cread.php?awinmid=6798&awinaffid=428263&p=https://www.edx.org/course/introduction-kubernetes-linuxfoundationx-lfs158x, (edx.org) ,"['Free', ' Video', ' Beginner', 'Docs']"
Kubernetes in Action,https://www.manning.com/books/kubernetes-in-action?a_aid=hackrio, (manning.com) ,"['Paid', ' Book', ' Beginner', 'Docs']"
Kubernetes By Example,http://kubernetesbyexample.com/, (kubernetesbyexample.com) ,"['Free', 'Docs']"
Self-paced Kubernetes Online Course,https://learnk8s.io/academy, (learnk8s.io) ,"['Paid', ' Book', ' Beginner', 'Docs']"
Kubernetes Certified Application Developer (CKAD) with Tests,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/certified-kubernetes-application-developer/, (udemy.com) ,"['Free', ' Video', ' Beginner', 'Docs']"
Getting Started with Kubernetes,https://play.instruqt.com/public/topics/getting-started-with-kubernetes, (play.instruqt.com) ,"['Free', ' Beginner', 'Docs']"
Learn Kubernetes using Interactive Browser-Based Scenarios,https://www.katacoda.com/courses/kubernetes, (katacoda.com) ,"['Free', ' Beginner', 'Docs']"
Kubernetes On The Cloud & The CNCF CKA Certification,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/kubernetes-cka-on-cloud/learn/v4/overview, (udemy.com) ,"['Paid', ' Video', ' Beginner', ' Exercises/Practice-programs', 'CKA Certification', 'Docs']"
Kubernetes Tutorials For Beginners: Getting Started Guide,https://devopscube.com/kubernetes-tutorials-beginners, (devopscube.com) ,"['Free', ' Beginner', 'Docs']"
An Ultimate Kubernetes Hands-on Labs,https://kubelabs.collabnix.com, (kubelabs.collabnix.com) ,"['Free', ' Book', ' Advanced', 'Docs']"
Lightweight Kubernetes with K3s,https://subscription.packtpub.com/video/cloud_and_networking/9781838821173, (subscription.packtpub.com) ,"['Paid', ' Video', ' Advanced', 'Internet of Things - IoT', 'Docs']"
Kubernetes Masterclass : Deploy Production Docker Containers,https://courses.tetranoodle.com/p/kubernetes-masterclass-deploy-production-docker-containers/, (courses.tetranoodle.com) ,"['Paid', ' Advanced', 'Docker', 'Docs']"
Learning Path: Kubernetes,https://developer.ibm.com/series/kubernetes-learning-path, (developer.ibm.com) ,"['Free', ' Video', ' Beginner', 'Docs']"
Kubernetes Tutorial - Carson,https://vimeo.com/245778144/4d1d597c5e, (vimeo.com) ,"['Free', ' Video', ' Beginner', 'Docs']"
Learn Kubernetes Basics (official docs),https://kubernetes.io/docs/tutorials/kubernetes-basics, (kubernetes.io) ,"['Free', 'Docs']"
Kubernetes for the Absolute Beginners - Hands-on,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/learn-kubernetes/, (udemy.com) ,"['Paid', ' Video', ' Beginner', 'Docs']"
"Kubernetes for Beginners (Kubernetes, Docker and DevOps)",https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/kubernetes-for-beginners-ganesh-velrajan/, (udemy.com) ,"['Paid', ' Video', ' Beginner', 'Docker', 'Docs']"
Tasks: Kubernetes Official Docs,https://kubernetes.io/docs/tasks, (kubernetes.io) ,"['Free', ' Beginner', 'Docs']"
Kubernetes The Hard Way,https://github.com/kelseyhightower/kubernetes-the-hard-way, (github.com) ,"['Free', ' Advanced', 'Docs']"
"Fundamentals of Containers, Kubernetes, and Red Hat OpenShift",http://www.awin1.com/cread.php?awinmid=6798&awinaffid=428263&p=https://www.edx.org/course/fundamentals-containers-kubernetes-red-hat-do081x, (edx.org) ,"['Free', ' Video', ' Beginner', 'Docs']"
Learn Kubernetes Beginner Series,https://www.youtube.com/playlist?list=PL34sAs7_26wNBRWM6BDhnonoA5FMERax0, (youtube.com) ,"['Free', ' Video', ' Beginner', 'Docs']"
"Kubernetes Native Microservices with Quarkus, and MicroProfile",https://www.manning.com/books/kubernetes-native-microservices-with-quarkus-and-microprofile?a_aid=hackrio, (manning.com) ,"['Paid', ' Book', ' Beginner', 'Docs']"
Kubernetes for Web Developers,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/course/kubernetes-for-web-developers-hands-on-examples, (udemy.com) ,"['Paid', ' Video', ' Beginner', 'Docs']"
kubernetes Tutorial | Intellipaat,https://www.youtube.com/watch?v=W7hLMxNEEHQ, (youtube.com) ,"['Free', ' Beginner', ' Video', 'Docs']"
50 Days From Zero to Hero with Kubernetes (Microsoft),https://azure.microsoft.com/mediahandler/files/resourcefiles/kubernetes-learning-path/Kubernetes%20Learning%20Path_Version%202.0.pdf, (azure.microsoft.com) ,"['Free', ' Beginner', 'Docs']"
Kubernetes Training | Intellipaat,https://www.youtube.com/watch?v=GgBRmkx2csg, (youtube.com) ,"['Free', ' Beginner', ' Video', 'Docs']"
Certified Kubernetes Application Developer,https://kodekloud.com/p/kubernetes-certification-course, (kodekloud.com) ,"['Paid', ' Beginner', 'Docs']"
Kubernetes Full Course | Simplilearn,https://www.youtube.com/watch?v=Mi3Lx7yk3Hg, (youtube.com) ,"['Free', ' Video', ' Beginner', 'Docs']"
Core Kubernetes,https://www.manning.com/books/core-kubernetes?a_aid=hackrio, (manning.com) ,"['Paid', ' Book', ' Beginner', 'Docs']"
GitOps and Kubernetes,https://www.manning.com/books/gitops-and-kubernetes?a_aid=hackrio, (manning.com) ,"['Paid', ' Book', ' Beginner', 'Docs']"
Kubernetes Workshop,https://github.com/eon01/kubernetes-workshop, (github.com) ,"['Free', ' Beginner', 'Docs']"
Kubernetes Masterclass,https://courses.tetranoodle.com/p/kubernetes-masterclass-deploy-production-docker-containers, (courses.tetranoodle.com) ,"['Paid', ' Advanced', 'Docker', 'Docs']"
