courses,course_links,websiteNames,course_tags
AWS Serverless APIs & Apps - A Complete Introduction,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/course/aws-serverless-a-complete-introduction/, (udemy.com) ,"['Paid', ' Video', ' Beginner', 'AWS Lambda', 'Docs']"
Build a Serverless Application on AWS using Ruby,http://blog.blackninjadojo.com/aws/serverless/2019/02/18/how-to-build-a-serverless-application-on-aws-using-ruby.html, (blog.blackninjadojo.com) ,"['Free', ' Beginner', 'Ruby AWS Lambda', 'Docs']"
Agile Development for Serverless Platforms,https://www.manning.com/books/agile-development-for-serverless-platforms?a_aid=hackrio, (manning.com) ,"['Free', ' Book', ' Beginner', 'Docs']"
AWS Fundamentals: Building Serverless Applications,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=40328&murl=https://www.coursera.org/learn/aws-fundamentals-building-serverless-applications, (coursera.org) ,"['Paid', ' Video', ' Beginner', 'AWS', 'Docs']"
Serverless Programming Cookbook,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=45060&murl=https://www.packtpub.com/application-development/serverless-programming-cookbook, (packtpub.com) ,"['Paid', ' Advanced', 'AWS', 'Docs']"
AWS Lambda in Action,https://www.manning.com/books/aws-lambda-in-action?a_aid=hackrio, (manning.com) ,"['Paid', ' Book', ' Beginner', 'AWS Lambda', 'Docs']"
Serverless Applications with Node.js,https://www.manning.com/books/serverless-applications-with-node-js?a_aid=hackrio, (manning.com) ,"['Paid', ' Book', 'AWS Lambda', 'Docs']"
AWS Lambda and the Serverless Framework - Hands On Learning,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/aws-lambda-serverless/, (udemy.com) ,"['Paid', ' Video', ' Beginner', 'AWS Lambda', 'Docs']"
Production-Ready Serverless,https://www.manning.com/livevideo/production-ready-serverless?a_aid=hackrio, (manning.com) ,"['Paid', ' Video', ' Advanced', 'Docs']"
A Crash Course on Serverless with Node.js,https://hackernoon.com/a-crash-course-on-serverless-with-node-js-632b37d58b44, (hackernoon.com) ,"['Free', 'AWS Lambda Node.js', 'Docs']"
Serverless Architectures - Martin Fowler,https://martinfowler.com/articles/serverless.html, (martinfowler.com) ,"['Free', 'Docs']"
Agile Development for Serverless Platforms,https://www.manning.com/books/agile-development-for-serverless-platforms?a_aid=hackrio, (manning.com) ,"['Free', ' Book', ' Beginner', 'Agile', 'Docs']"
"Serverless Architectures on AWS, Second Edition",https://www.manning.com/books/serverless-architectures-on-aws-second-edition?a_aid=hackrio, (manning.com) ,"['Paid', ' Book', ' Beginner', 'AWS', 'Docs']"
Serverless Backend for Data Transformation,https://www.nankov.com/posts/serverless-backend-for-data-tranformation-part-1, (nankov.com) ,"['Free', ' Beginner', 'Docs']"
Serverless Training Library,https://cloudacademy.com/library/serverless, (cloudacademy.com) ,"['Paid', ' Video', ' Advanced', 'Docs']"
Serverless Backend using AWS Lambda: Hands-on Guide,https://blog.bitsrc.io/serverless-backend-using-aws-lambda-hands-on-guide-31806ceb735e, (blog.bitsrc.io) ,"['Free', ' Beginner', 'AWS Lambda', 'Docs']"
Practical beginners course to Serverless Applications,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/introduction-to-serverless-aws, (udemy.com) ,"['Free', ' Video', ' Beginner', 'AWS', 'Docs']"
The Serverless Framework with Node.js & AWS,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/the-serverless-framework-with-nodejs-aws, (udemy.com) ,"['Paid', ' Video', ' Beginner', 'Docs']"
Serverless Applications with AWS,https://www.manning.com/livevideo/serverless-applications-with-AWS?a_aid=hackrio, (manning.com) ,"['Paid', ' Video', ' Beginner', 'Docs']"
