courses,course_links,websiteNames,course_tags
Vagrant Configuration,https://www.youtube.com/playlist?list=PL2vfKi8eN0j72pmf3IjXhTXMXhm2LYlgz, (youtube.com) ,"['Free', ' Video', 'Docs']"
Up and Running with Vagrant,https://serversforhackers.com/video/up-and-running-with-vagrant, (serversforhackers.com) ,"['Free', ' Video', 'Docs']"
Vagrant Documentation,http://docs.vagrantup.com/v2/, (docs.vagrantup.com) ,"['Free', 'Docs']"
Getting Started With Vagrant,https://www.youtube.com/watch?v=LyIyyFDgO4o, (youtube.com) ,"['Free', ' Video', 'Docs']"
Vagrant Fundamentals,https://learn.enviatics.com/p/vagrant-fundamentals, (learn.enviatics.com) ,"['Paid', ' Video', ' Beginner', 'Docs']"
Vagrant Quick Start: Virtualized Development Environments,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/vagrant-quick-start, (udemy.com) ,"['Paid', ' Video', ' Beginner', 'Docs']"
Vagrant Essentials : Learn DevOps Using Vagrant,https://www.eduonix.com/courses/Software-Development/vagrant-essentials-learn-devops-using-vagrant, (eduonix.com) ,"['Paid', ' Advanced', ' Video', 'Docs']"
Crash Course on Vagrant,https://sysadmincasts.com/episodes/42-crash-course-on-vagrant-revised, (sysadmincasts.com) ,"['Free', ' Video', 'Docs']"
"Vagrant: What, Why, and How",http://code.tutsplus.com/tutorials/vagrant-what-why-and-how--net-26500, (code.tutsplus.com) ,"['Free', 'Docs']"
Vagrant Virtualised Dev Environments,http://nefariousdesigns.co.uk/vagrant-virtualised-dev-environments.html, (nefariousdesigns.co.uk) ,"['Free', 'Docs']"
Get VAGRANT UP and Running in No Time,https://scotch.io/tutorials/get-vagrant-up-and-running-in-no-time, (scotch.io) ,"['Free', 'Docs']"
