courses,course_links,websiteNames,course_tags
Learn C# (Learning Path from Beginner to Advanced),https://pluralsight.pxf.io/5BMy9, (pluralsight.com) ,"['Paid', ' Video', ' Beginner', 'Docs']"
Code like a Pro in C#,https://www.manning.com/books/code-like-a-pro-in-c-sharp?a_aid=hackrio, (manning.com) ,"['Paid', ' Book', ' Beginner', 'Docs']"
C# Basics for Beginners,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/csharp-tutorial-for-beginners/, (udemy.com) ,"['Paid', ' Video', ' Beginner', 'Docs']"
The C# Yellow Book,http://www.robmiles.com/c-yellow-book/, (robmiles.com) ,"['Free', 'Docs']"
C# Advanced Topics: Take Your C# Skills to the Next Level,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/csharp-advanced/, (udemy.com) ,"['Paid', ' Video', ' Advanced', 'Docs']"
C# Tutorial - Full Course for Beginners | Free Code  Camp,https://www.youtube.com/watch?v=GhQdlIFylQ8, (youtube.com) ,"['Free', ' Beginner', 'Docs']"
"C# Intermediate: Classes, Interfaces and OOP",https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/csharp-intermediate-classes-interfaces-and-oop/, (udemy.com) ,"['Paid', ' Video', ' Advanced', 'Docs']"
Programming in C# Jump Start,http://www.microsoftvirtualacademy.com/training-courses/developer-training-with-programming-in-c, (microsoftvirtualacademy.com) ,"['Free', 'Docs']"
C# Fundamentals for Absolute Beginners,http://channel9.msdn.com/Series/C-Fundamentals-for-Absolute-Beginners, (channel9.msdn.com) ,"['Free', 'Docs']"
C# Programming Basics for Beginners,https://witscad.com/course/csharp-basics-for-beginners, (witscad.com) ,"['Free', ' Book', ' Beginner', 'Docs']"
C# in Depth - Fourth Edition,https://www.manning.com/books/c-sharp-in-depth-fourth-edition?a_aid=hackrio, (manning.com) ,"['Paid', ' Book', 'Docs']"
Programming for Complete Beginners in C#,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/programming-for-complete-beginners-in-csharp/, (udemy.com) ,"['Paid', ' Video', ' Beginner', 'Docs']"
C# tutorial for beginners,https://www.youtube.com/playlist?list=PLAC325451207E3105, (youtube.com) ,"['Free', ' Video', 'Docs']"
C# Station Tutorial,http://www.csharp-station.com/Tutorial/CSharp/SmartConsoleSetup.aspx, (csharp-station.com) ,"['Free', 'Docs']"
An 16 Hour C# Course With Microsoft Visual Studio 2013,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/csharpbasics/, (udemy.com) ,"['Paid', ' Video', 'Docs']"
Introduction to C# & .NET Tutorial,https://www.koderhq.com/tutorial/csharp, (koderhq.com) ,"['Free', ' Beginner', 'Docs']"
C# Tutorial,https://www.sololearn.com/Course/CSharp, (sololearn.com) ,"['Free', ' Beginner', 'Docs']"
Naked C#: A Beginner's Guide to Coding,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/naked_cs/, (udemy.com) ,"['Paid', ' Video', ' Beginner', 'Docs']"
Getting Started with C#,https://www.microsoft.com/net/tutorials/csharp/getting-started, (microsoft.com) ,"['Free', 'Docs']"
C# Intermediate Course Witscad,https://witscad.com/course/csharp-intermediate-course, (witscad.com) ,"['Free', ' Advanced', 'Docs']"
Learn C# with Codecademy,https://www.pjatr.com/t/TUJGR0lLR0JHRklKSkdCR0ZISk1N?url=https://www.codecademy.com/learn/learn-c-sharp, (codecademy.com) ,"['Paid', ' Beginner', ' Exercises/Practice-programs', 'Docs']"
C# Programming Language,https://www.geeksforgeeks.org/csharp-programming-language, (geeksforgeeks.org) ,"['Free', ' Book', ' Beginner', 'Docs']"
Accelerated C# Fundamentals,http://pluralsight.pxf.io/c/1419154/610268/7490, (pluralsight.com) ,"['Paid', ' Beginner', ' Video', 'Docs']"
