courses,course_links,websiteNames,course_tags
Digital Marketing Nanodegree,https://imp.i115008.net/zWanW, (udacity.com) ,"['Paid', ' Video', ' Beginner', 'Docs']"
Paul Willard on Growth Hacking,https://www.youtube.com/watch?v=SyZOGJHl_a0, (youtube.com) ,"['Free', ' Video', 'Docs']"
Growth Hacking,http://www.slideshare.net/mattangriffel/growth-hacking, (slideshare.net) ,"['Free', 'Docs']"
The Complete Digital Marketing Course 2017,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/learn-digital-marketing-course/, (udemy.com) ,"['Paid', ' Video', ' Beginner', 'Docs']"
The Ultimate Growth Hacking Sourcebook,https://rocketshp.com/ultimate-growth-hacking-sourcebook/, (rocketshp.com) ,"['Free', 'Docs']"
Ultimate Guide to Funnel Optimization,http://www.slideshare.net/seanjohnson/ultimate-guide-to-funnel-optimization, (slideshare.net) ,"['Free', 'Docs']"
"Growth Hacking 101: Your First 500,000 Users",http://www.slideshare.net/yongfook/growth-hacking-101-your-first-500000-users, (slideshare.net) ,"['Free', 'Docs']"
How to Design & Track Viral Growth Experiments,https://www.youtube.com/watch?v=0APJlxMjPw4, (youtube.com) ,"['Free', ' Video', 'Docs']"
Growth Hacking with Digital Marketing,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/growth-hacking-masterclass-become-a-digital-marketing-ninja/, (udemy.com) ,"['Paid', ' Video', ' Beginner', 'Docs']"
Dave McClure - Startup Metrics For Pirates,https://vimeo.com/26277733, (vimeo.com) ,"['Free', ' Video', 'Docs']"
Growth Hacking - 10 Key Checklist,http://www.slideshare.net/BryanFerguson/growth-hacking-10-keys-checklist, (slideshare.net) ,"['Free', 'Docs']"
Inspired Examples of Growth Hacking Strategies & Techniques,https://johnmcelborough.com/growth-hacking-strategies, (johnmcelborough.com) ,"['Free', ' Beginner', 'Docs']"
Digital Marketing — Quantum Degree,https://www.nextacademy.com/quantum-degrees/digital-marketing, (nextacademy.com) ,"['Paid', ' Beginner', 'Docs']"
128 High Converting Growth Hacks,http://blog.linkody.com/seo/growth-hacks-list, (blog.linkody.com) ,"['Free', 'Docs']"
Think Like A Growth Hacker,http://www.slideshare.net/timhomuth/think-like-a-growth-hacker, (slideshare.net) ,"['Free', 'Docs']"
The Definitive Guide to Growth Hacking,http://www.quicksprout.com/the-definitive-guide-to-growth-hacking/, (quicksprout.com) ,"['Free', 'Docs']"
