courses,course_links,websiteNames,course_tags
Functional Programming Principles in Scala,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=40328&murl=https://www.coursera.org/learn/progfun1, (coursera.org) ,"['Free', ' Video', 'Docs']"
Programming in Scala,http://www.artima.com/pins1ed/, (artima.com) ,"['Free', 'Docs']"
Scala By Example,https://docs.scala-lang.org/getting-started.html, (docs.scala-lang.org) ,"['Free', 'Docs']"
Scala School,http://twitter.github.io/scala_school/, (twitter.github.io) ,"['Free', 'Docs']"
Scala: Learn by Example,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/learn-by-example-scala/, (udemy.com) ,"['Paid', ' Video', ' Beginner', 'Docs']"
Scala Exercises,https://www.scala-exercises.org/, (scala-exercises.org) ,"['Free', ' Exercises/Practice-programs', 'Docs']"
Effective Scala,http://twitter.github.io/effectivescala/, (twitter.github.io) ,"['Free', 'Docs']"
Akka Essentials with Scala,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/akka-essentials, (udemy.com) ,"['Paid', ' Video', ' Beginner', 'Akka', 'Docs']"
Scalable Programming with Scala and Spark,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/scalable-programming-with-scala-and-spark/, (udemy.com) ,"['Paid', ' Video', 'Docs']"
Introduction to Programming and Problem Solving Using Scala,https://www.youtube.com/playlist?list=PLLMXbkbDbVt9MIJ9DV4ps-_trOzWtphYO, (youtube.com) ,"['Free', ' Video', 'Docs']"
Learn Scala from Scratch,https://www.educative.io/courses/learn-scala-from-scratch, (educative.io) ,"['Paid', ' Beginner', 'Docs']"
Scala Programming Language,https://www.geeksforgeeks.org/scala-programming-language, (geeksforgeeks.org) ,"['Free', ' Beginner', 'Docs']"
Hands-on Scala Programming,https://www.handsonscala.com, (handsonscala.com) ,"['Free', ' Book', ' Beginner', 'Docs']"
Modern Web Development with Scala,https://leanpub.com/modern-web-development-with-scala, (leanpub.com) ,"['Paid', ' Book', ' Beginner', 'Docs']"
"Stairway to Scala Applied, Part 1",https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/stairway-to-scala-applied-part-1, (udemy.com) ,"['Paid', ' Video', ' Beginner', 'Docs']"
Mastering Advanced Scala,https://leanpub.com/mastering-advanced-scala, (leanpub.com) ,"['Paid', ' Book', ' Advanced', 'Docs']"
Scalatra in Action,https://www.manning.com/books/scalatra-in-action?a_aid=hackrio, (manning.com) ,"['Paid', ' Book', ' Beginner', 'Sinatra', 'Docs']"
Practical Probabilistic Programming,https://www.manning.com/books/practical-probabilistic-programming?a_aid=hackrio, (manning.com) ,"['Paid', ' Book', ' Beginner', 'Docs']"
Functional Programming in Scala Specialization,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=40328&murl=https://www.coursera.org/specializations/scala, (coursera.org) ,"['Paid', ' Advanced', 'Functional Programming', 'Docs']"
Scala Tutorials,http://allaboutscala.com, (allaboutscala.com) ,"['Free', ' Beginner', 'Docs']"
Atomic Scala,https://gumroad.com/l/AtomicScala, (gumroad.com) ,"['Paid', ' Book', ' Beginner', 'Docs']"
Get Programming with Scala,https://www.manning.com/books/get-programming-with-scala?a_aid=hackrio, (manning.com) ,"['Paid', ' Book', ' Beginner', 'Docs']"
Learning Scala,https://madusudanan.com/blog/scala-articles-index/, (madusudanan.com) ,"['Free', ' Book', ' Beginner', 'Docs']"
The Neophyte's Guide to Scala,http://danielwestheide.com/scala/neophytes.html, (danielwestheide.com) ,"['Free', 'Docs']"
Learning Scala - Joel Abrahamsson,http://joelabrahamsson.com/learning-scala/, (joelabrahamsson.com) ,"['Free', 'Docs']"
